1246478611304, 00:00:00, Battery: level = 100, scale = 100, status = 5, health = 2, plugged = 2, voltage = 4190
Searchlight Schedule  t=7
1246478625143, 00:00:14, Battery: level = 100, scale = 100, status = 4, health = 2, plugged = 0, voltage = 4120
1246479715144, 00:18:24, Battery: level = 99, scale = 100, status = 4, health = 2, plugged = 0, voltage = 4103
1246480344351, 00:28:53, Battery: level = 98, scale = 100, status = 4, health = 2, plugged = 0, voltage = 4091
1246480434233, 00:30:23, Battery: level = 97, scale = 100, status = 4, health = 2, plugged = 0, voltage = 4095
1246480614099, 00:33:22, Battery: level = 96, scale = 100, status = 4, health = 2, plugged = 0, voltage = 4090
1246480734256, 00:35:23, Battery: level = 95, scale = 100, status = 4, health = 2, plugged = 0, voltage = 4082
1246480793912, 00:36:22, Battery: level = 94, scale = 100, status = 4, health = 2, plugged = 0, voltage = 4080
1246481183555, 00:42:52, Battery: level = 93, scale = 100, status = 4, health = 2, plugged = 0, voltage = 4068
1246481333539, 00:45:22, Battery: level = 92, scale = 100, status = 4, health = 2, plugged = 0, voltage = 4060
1246481393499, 00:46:22, Battery: level = 91, scale = 100, status = 4, health = 2, plugged = 0, voltage = 4045
1246481603163, 00:49:52, Battery: level = 90, scale = 100, status = 4, health = 2, plugged = 0, voltage = 4059
1246481782940, 00:52:51, Battery: level = 89, scale = 100, status = 4, health = 2, plugged = 0, voltage = 4049
1246481812909, 00:53:21, Battery: level = 88, scale = 100, status = 4, health = 2, plugged = 0, voltage = 4046
1246481992770, 00:56:21, Battery: level = 87, scale = 100, status = 4, health = 2, plugged = 0, voltage = 4036
1246482442290, 01:03:51, Battery: level = 86, scale = 100, status = 4, health = 2, plugged = 0, voltage = 4027
1246482472267, 01:04:21, Battery: level = 85, scale = 100, status = 4, health = 2, plugged = 0, voltage = 4013
1246482891848, 01:11:20, Battery: level = 84, scale = 100, status = 4, health = 2, plugged = 0, voltage = 4017
1246482981769, 01:12:50, Battery: level = 83, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3999
1246483011738, 01:13:20, Battery: level = 82, scale = 100, status = 4, health = 2, plugged = 0, voltage = 4005
1246483131671, 01:15:20, Battery: level = 81, scale = 100, status = 4, health = 2, plugged = 0, voltage = 4001
1246483491281, 01:21:20, Battery: level = 80, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3996
1246484000764, 01:29:49, Battery: level = 79, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3982
1246484030738, 01:30:19, Battery: level = 78, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3978
1246484120739, 01:31:49, Battery: level = 77, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3978
1246484210578, 01:33:19, Battery: level = 76, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3961
1246484660142, 01:40:49, Battery: level = 75, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3964
1246485079750, 01:47:48, Battery: level = 74, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3954
1246485229592, 01:50:18, Battery: level = 73, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3946
1246485289765, 01:51:18, Battery: level = 72, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3939
1246485319517, 01:51:48, Battery: level = 71, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3945
1246485379514, 01:52:48, Battery: level = 70, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3938
1246486068788, 02:04:17, Battery: level = 69, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3919
1246486308562, 02:08:17, Battery: level = 68, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3921
1246486428488, 02:10:17, Battery: level = 67, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3915
1246486458348, 02:10:47, Battery: level = 66, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3898
1246486848028, 02:17:16, Battery: level = 65, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3907
1246487057824, 02:20:46, Battery: level = 64, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3887
1246487507398, 02:28:16, Battery: level = 63, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3890
1246487627245, 02:30:16, Battery: level = 62, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3880
1246488106753, 02:38:15, Battery: level = 61, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3872
1246488136735, 02:38:45, Battery: level = 60, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3869
1246488496423, 02:44:45, Battery: level = 59, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3867
1246488556329, 02:45:45, Battery: level = 58, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3852
1246488586288, 02:46:15, Battery: level = 57, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3861
1246488706238, 02:48:15, Battery: level = 56, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3845
1246489665239, 03:04:14, Battery: level = 55, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3836
1246489725288, 03:05:14, Battery: level = 54, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3836
1246489875239, 03:07:44, Battery: level = 53, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3831
1246490714270, 03:21:43, Battery: level = 52, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3825
1246490804189, 03:23:13, Battery: level = 51, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3809
1246490864240, 03:24:13, Battery: level = 50, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3806
1246490894043, 03:24:42, Battery: level = 49, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3811
1246491343648, 03:32:12, Battery: level = 48, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3803
1246491433677, 03:33:42, Battery: level = 47, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3798
1246491463583, 03:34:12, Battery: level = 46, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3797
1246491553420, 03:35:42, Battery: level = 45, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3793
1246491942993, 03:42:11, Battery: level = 44, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3779
1246491972998, 03:42:41, Battery: level = 43, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3784
1246492152805, 03:45:41, Battery: level = 42, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3775
1246492542464, 03:52:11, Battery: level = 41, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3776
1246492572575, 03:52:41, Battery: level = 40, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3775
1246493081923, 04:01:10, Battery: level = 39, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3767
1246493172091, 04:02:40, Battery: level = 38, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3764
1246493201855, 04:03:10, Battery: level = 37, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3762
1246493411590, 04:06:40, Battery: level = 36, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3768
1246493531519, 04:08:40, Battery: level = 35, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3763
1246493741262, 04:12:10, Battery: level = 34, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3755
1246494220863, 04:20:09, Battery: level = 33, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3748
1246494250768, 04:20:39, Battery: level = 32, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3749
1246494280745, 04:21:09, Battery: level = 31, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3742
1246494490561, 04:24:39, Battery: level = 30, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3740
1246494760288, 04:29:09, Battery: level = 29, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3741
1246494790266, 04:29:39, Battery: level = 28, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3740
1246495269769, 04:37:38, Battery: level = 27, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3736
1246495389724, 04:39:38, Battery: level = 26, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3733
1246495749290, 04:45:38, Battery: level = 25, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3735
1246495929147, 04:48:38, Battery: level = 24, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3730
1246496468740, 04:57:37, Battery: level = 23, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3715
1246496648424, 05:00:37, Battery: level = 22, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3714
1246497577499, 05:16:06, Battery: level = 21, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3710
1246497697497, 05:18:06, Battery: level = 20, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3712
1246498236941, 05:27:05, Battery: level = 19, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3708
1246498506639, 05:31:35, Battery: level = 18, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3700
1246498618827, 05:33:27, Battery: level = 18, scale = 100, status = 2, health = 2, plugged = 1, voltage = 3705
1246498619628, 05:33:28, Battery: level = 18, scale = 100, status = 2, health = 2, plugged = 2, voltage = 3705
