1299117997174, 18:00:00, Battery: level = 100, scale = 100, status = 4, health = 2, plugged = 0, voltage = 4151
Searchlight Schedule  t=7
1299119178129, 18:19:41, Battery: level = 99, scale = 100, status = 4, health = 2, plugged = 0, voltage = 4105
1299119357869, 18:22:40, Battery: level = 98, scale = 100, status = 4, health = 2, plugged = 0, voltage = 4091
1299120167154, 18:36:10, Battery: level = 97, scale = 100, status = 4, health = 2, plugged = 0, voltage = 4088
1299120886415, 18:48:09, Battery: level = 96, scale = 100, status = 4, health = 2, plugged = 0, voltage = 4084
1299121126209, 18:52:09, Battery: level = 95, scale = 100, status = 4, health = 2, plugged = 0, voltage = 4072
1299121156142, 18:52:39, Battery: level = 94, scale = 100, status = 4, health = 2, plugged = 0, voltage = 4069
1299121305983, 18:55:08, Battery: level = 93, scale = 100, status = 4, health = 2, plugged = 0, voltage = 4063
1299121695676, 19:01:38, Battery: level = 92, scale = 100, status = 4, health = 2, plugged = 0, voltage = 4056
1299121875446, 19:04:38, Battery: level = 91, scale = 100, status = 4, health = 2, plugged = 0, voltage = 4048
1299122235135, 19:10:38, Battery: level = 90, scale = 100, status = 4, health = 2, plugged = 0, voltage = 4044
1299122415164, 19:13:38, Battery: level = 89, scale = 100, status = 4, health = 2, plugged = 0, voltage = 4035
1299122444879, 19:14:07, Battery: level = 88, scale = 100, status = 4, health = 2, plugged = 0, voltage = 4020
1299122894423, 19:21:37, Battery: level = 87, scale = 100, status = 4, health = 2, plugged = 0, voltage = 4025
1299123284074, 19:28:07, Battery: level = 86, scale = 100, status = 4, health = 2, plugged = 0, voltage = 4017
1299123463886, 19:31:06, Battery: level = 85, scale = 100, status = 4, health = 2, plugged = 0, voltage = 4011
1299123853534, 19:37:36, Battery: level = 84, scale = 100, status = 4, health = 2, plugged = 0, voltage = 4005
1299123973409, 19:39:36, Battery: level = 83, scale = 100, status = 4, health = 2, plugged = 0, voltage = 4001
1299124512877, 19:48:35, Battery: level = 82, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3989
1299124602769, 19:50:05, Battery: level = 81, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3983
1299124932445, 19:55:35, Battery: level = 80, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3982
1299125022368, 19:57:05, Battery: level = 79, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3974
1299125112267, 19:58:35, Battery: level = 78, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3969
1299125561831, 20:06:04, Battery: level = 77, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3959
1299125621761, 20:07:04, Battery: level = 76, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3943
1299125771629, 20:09:34, Battery: level = 75, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3948
1299125891520, 20:11:34, Battery: level = 74, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3943
1299126640825, 20:24:03, Battery: level = 73, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3922
1299126730743, 20:25:33, Battery: level = 72, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3929
1299127270261, 20:34:33, Battery: level = 71, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3920
1299127450010, 20:37:32, Battery: level = 70, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3913
1299127839610, 20:44:02, Battery: level = 69, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3907
1299127929802, 20:45:32, Battery: level = 68, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3905
1299128049439, 20:47:32, Battery: level = 67, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3892
1299128918571, 21:02:01, Battery: level = 66, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3888
1299129038447, 21:04:01, Battery: level = 65, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3881
1299129098539, 21:05:01, Battery: level = 64, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3879
1299129517974, 21:12:00, Battery: level = 63, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3870
1299129547915, 21:12:30, Battery: level = 62, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3860
1299130147360, 21:22:30, Battery: level = 61, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3854
1299130596986, 21:29:59, Battery: level = 60, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3846
1299130686848, 21:31:29, Battery: level = 59, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3840
1299130746834, 21:32:29, Battery: level = 58, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3836
1299130776751, 21:32:59, Battery: level = 57, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3824
1299130866669, 21:34:29, Battery: level = 56, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3826
1299131795809, 21:49:58, Battery: level = 55, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3813
1299132305244, 21:58:28, Battery: level = 54, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3812
1299132455102, 22:00:58, Battery: level = 53, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3805
1299132545026, 22:02:28, Battery: level = 52, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3794
1299133504060, 22:18:27, Battery: level = 51, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3789
1299133623951, 22:20:26, Battery: level = 50, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3786
1299133983643, 22:26:26, Battery: level = 49, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3786
1299134013618, 22:26:56, Battery: level = 48, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3783
1299134103480, 22:28:26, Battery: level = 47, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3781
1299134223372, 22:30:26, Battery: level = 46, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3781
1299134583229, 22:36:26, Battery: level = 45, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3775
1299134702930, 22:38:25, Battery: level = 44, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3774
1299135062554, 22:44:25, Battery: level = 43, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3772
1299135242589, 22:47:25, Battery: level = 42, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3768
1299135631988, 22:53:54, Battery: level = 41, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3765
1299135721934, 22:55:24, Battery: level = 40, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3762
1299135751892, 22:55:54, Battery: level = 39, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3760
1299135871839, 22:57:54, Battery: level = 38, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3755
1299136351547, 23:05:54, Battery: level = 37, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3741
1299136740942, 23:12:23, Battery: level = 36, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3754
1299136770924, 23:12:53, Battery: level = 35, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3751
1299136950725, 23:15:53, Battery: level = 34, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3732
1299137040631, 23:17:23, Battery: level = 33, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3739
1299137070594, 23:17:53, Battery: level = 32, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3741
1299137160523, 23:19:23, Battery: level = 31, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3739
1299137460189, 23:24:23, Battery: level = 30, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3730
1299137811005, 23:30:13, Battery: level = 30, scale = 100, status = 2, health = 2, plugged = 1, voltage = 3811
1299137811752, 23:30:14, Battery: level = 30, scale = 100, status = 2, health = 2, plugged = 2, voltage = 3811
