23:49:01, 00:23:D4:6A:87:DE, GARBAGE, false
23:53:25, 00:23:D4:6A:87:DE, GARBAGE, false
00:02:38, 00:23:D4:6A:87:DE, GARBAGE, false
00:07:14, 00:23:D4:6A:87:DE, GARBAGE, false
00:16:25, 00:23:D4:6A:87:DE, GARBAGE, false
00:21:02, 00:23:D4:6A:87:DE, GARBAGE, false
00:25:40, 00:23:D4:6A:87:DE, GARBAGE, false
00:27:58, 00:23:D4:6A:87:DE, 192.168.1.6, false
00:27:58, 00:23:D4:6A:87:DE, GARBAGE IP, true
00:27:58, 00:23:D4:6A:87:DE, GARBAGE IP, true
00:27:58, 00:23:D4:6A:87:DE, GARBAGE IP, true
00:27:58, 00:23:D4:6A:87:DE, GARBAGE IP, true
00:27:58, 00:23:D4:6A:87:DE, GARBAGE IP, true
00:27:58, 00:23:D4:6A:87:DE, 192.168.1.2, true
00:27:58, 00:23:D4:6A:87:DE, GARBAGE IP, true
00:27:58, 00:23:D4:6A:87:DE, GARBAGE IP, true
00:27:58, 00:23:D4:6A:87:DE, GARBAGE IP, true
00:27:58, 00:23:D4:6A:87:DE, GARBAGE IP, true
00:27:58, 00:23:D4:6A:87:DE, GARBAGE IP, true
00:30:03, 00:23:D4:6A:87:DE, 192.168.1.6, true
00:30:03, 00:23:D4:6A:87:DE, GARBAGE IP, true
00:30:04, 00:23:D4:6A:87:DE, GARBAGE IP, true
00:30:04, 00:23:D4:6A:87:DE, GARBAGE IP, true
00:30:04, 00:23:D4:6A:87:DE, GARBAGE IP, true
00:30:04, 00:23:D4:6A:87:DE, GARBAGE IP, true
00:30:45, 00:23:D4:6A:87:DE, 192.168.1.6, true
00:30:45, 00:23:D4:6A:87:DE, GARBAGE IP, true
00:30:45, 00:23:D4:6A:87:DE, GARBAGE IP, true
00:30:46, 00:23:D4:6A:87:DE, GARBAGE IP, true
00:30:46, 00:23:D4:6A:87:DE, GARBAGE IP, true
00:30:46, 00:23:D4:6A:87:DE, GARBAGE IP, true
00:34:52, 00:23:D4:6A:87:DE, GARBAGE, false
00:39:29, 00:23:D4:6A:87:DE, GARBAGE, false
00:48:39, 00:23:D4:6A:87:DE, GARBAGE, false
00:53:14, 00:23:D4:6A:87:DE, GARBAGE, false
00:57:50, 00:23:D4:6A:87:DE, GARBAGE, false
01:07:02, 00:23:D4:6A:87:DE, GARBAGE, false
01:16:15, 00:23:D4:6A:87:DE, GARBAGE, false
01:25:27, 00:23:D4:6A:87:DE, GARBAGE, false
01:30:04, 00:23:D4:6A:87:DE, GARBAGE, false
01:44:08, 00:23:D4:6A:87:DE, GARBAGE, false
01:44:26, 00:23:D4:6A:87:DE, 192.168.1.7, true
01:44:26, 00:23:D4:6A:87:DE, GARBAGE IP, true
01:44:26, 00:23:D4:6A:87:DE, GARBAGE IP, true
01:44:26, 00:23:D4:6A:87:DE, GARBAGE IP, true
01:44:26, 00:23:D4:6A:87:DE, GARBAGE IP, true
01:44:26, 00:23:D4:6A:87:DE, GARBAGE IP, true
01:45:08, 00:23:D4:6A:87:DE, 192.168.1.7, true
01:45:08, 00:23:D4:6A:87:DE, GARBAGE IP, true
01:45:08, 00:23:D4:6A:87:DE, GARBAGE IP, true
01:45:08, 00:23:D4:6A:87:DE, GARBAGE IP, true
01:45:08, 00:23:D4:6A:87:DE, GARBAGE IP, true
01:45:50, 00:23:D4:6A:87:DE, 192.168.1.7, true
01:45:50, 00:23:D4:6A:87:DE, GARBAGE IP, true
01:45:50, 00:23:D4:6A:87:DE, GARBAGE IP, true
01:45:50, 00:23:D4:6A:87:DE, GARBAGE IP, true
01:45:50, 00:23:D4:6A:87:DE, GARBAGE IP, true
01:45:54, 00:23:D4:6A:87:DE, GARBAGE, false
01:50:20, 00:23:D4:6A:87:DE, GARBAGE, false
01:59:36, 00:23:D4:6A:87:DE, GARBAGE, false
02:04:06, 00:23:D4:6A:87:DE, GARBAGE, false
02:13:19, 00:23:D4:6A:87:DE, GARBAGE, false
02:17:42, 00:23:D4:6A:87:DE, 192.168.1.6, true
02:17:42, 00:23:D4:6A:87:DE, GARBAGE IP, true
02:17:42, 00:23:D4:6A:87:DE, GARBAGE IP, true
02:17:42, 00:23:D4:6A:87:DE, GARBAGE IP, true
02:17:42, 00:23:D4:6A:87:DE, GARBAGE IP, true
02:17:42, 00:23:D4:6A:87:DE, GARBAGE IP, true
02:18:24, 00:23:D4:6A:87:DE, 192.168.1.6, true
02:18:24, 00:23:D4:6A:87:DE, GARBAGE IP, true
02:18:24, 00:23:D4:6A:87:DE, GARBAGE IP, true
02:18:24, 00:23:D4:6A:87:DE, GARBAGE IP, true
02:18:24, 00:23:D4:6A:87:DE, GARBAGE IP, true
02:18:24, 00:23:D4:6A:87:DE, GARBAGE IP, true
02:22:30, 00:23:D4:6A:87:DE, GARBAGE, false
02:27:09, 00:23:D4:6A:87:DE, GARBAGE, false
02:31:44, 00:23:D4:6A:87:DE, GARBAGE, false
02:36:21, 00:23:D4:6A:87:DE, GARBAGE, false
02:45:36, 00:23:D4:6A:87:DE, GARBAGE, false
02:49:11, 00:23:D4:6A:87:DE, 192.168.1.3, true
02:49:11, 00:23:D4:6A:87:DE, GARBAGE IP, true
02:49:12, 00:23:D4:6A:87:DE, GARBAGE IP, true
02:49:12, 00:23:D4:6A:87:DE, GARBAGE IP, true
02:49:12, 00:23:D4:6A:87:DE, GARBAGE IP, true
02:50:35, 00:23:D4:6A:87:DE, 192.168.1.3, true
02:50:35, 00:23:D4:6A:87:DE, GARBAGE IP, true
02:50:36, 00:23:D4:6A:87:DE, GARBAGE IP, true
02:50:36, 00:23:D4:6A:87:DE, GARBAGE IP, true
02:50:36, 00:23:D4:6A:87:DE, GARBAGE IP, true
02:50:39, 00:23:D4:6A:87:DE, 192.168.1.10, false
02:50:39, 00:23:D4:6A:87:DE, GARBAGE IP, true
02:50:39, 00:23:D4:6A:87:DE, GARBAGE IP, true
02:52:13, 00:23:D4:6A:87:DE, GARBAGE, false
02:55:11, 00:23:D4:6A:87:DE, 192.168.1.3, true
02:55:11, 00:23:D4:6A:87:DE, GARBAGE IP, true
