23:51:19, 00:23:D4:6A:B6:B9, GARBAGE, false
23:55:49, 00:23:D4:6A:B6:B9, GARBAGE, false
00:05:09, 00:23:D4:6A:B6:B9, GARBAGE, false
00:11:44, 00:23:D4:6A:B6:B9, GARBAGE, false
00:18:48, 00:23:D4:6A:B6:B9, GARBAGE, false
00:23:18, 00:23:D4:6A:B6:B9, GARBAGE, false
00:28:38, 00:23:D4:6A:B6:B9, 192.168.1.2, false
00:28:38, 00:23:D4:6A:B6:B9, GARBAGE IP, true
00:28:38, 00:23:D4:6A:B6:B9, GARBAGE IP, true
00:28:38, 00:23:D4:6A:B6:B9, GARBAGE IP, true
00:28:38, 00:23:D4:6A:B6:B9, GARBAGE IP, true
00:28:38, 00:23:D4:6A:B6:B9, GARBAGE IP, true
00:29:21, 00:23:D4:6A:B6:B9, 192.168.1.2, false
00:29:21, 00:23:D4:6A:B6:B9, GARBAGE IP, true
00:29:21, 00:23:D4:6A:B6:B9, GARBAGE IP, true
00:29:21, 00:23:D4:6A:B6:B9, GARBAGE IP, true
00:29:22, 00:23:D4:6A:B6:B9, GARBAGE IP, true
00:29:22, 00:23:D4:6A:B6:B9, GARBAGE IP, true
00:32:46, 00:23:D4:6A:B6:B9, GARBAGE, false
00:37:27, 00:23:D4:6A:B6:B9, GARBAGE, false
00:46:32, 00:23:D4:6A:B6:B9, GARBAGE, false
00:51:13, 00:23:D4:6A:B6:B9, GARBAGE, false
01:00:16, 00:23:D4:6A:B6:B9, GARBAGE, false
01:04:56, 00:23:D4:6A:B6:B9, GARBAGE, false
01:09:27, 00:23:D4:6A:B6:B9, GARBAGE, false
01:30:01, 00:23:D4:6A:B6:B9, GARBAGE, false
01:34:38, 00:23:D4:6A:B6:B9, GARBAGE, false
01:37:32, 00:23:D4:6A:B6:B9, 192.168.1.5, true
01:37:32, 00:23:D4:6A:B6:B9, GARBAGE IP, true
01:37:32, 00:23:D4:6A:B6:B9, GARBAGE IP, true
01:37:32, 00:23:D4:6A:B6:B9, GARBAGE IP, true
01:37:32, 00:23:D4:6A:B6:B9, GARBAGE IP, true
01:37:32, 00:23:D4:6A:B6:B9, GARBAGE IP, true
01:38:13, 00:23:D4:6A:B6:B9, 192.168.1.5, true
01:38:13, 00:23:D4:6A:B6:B9, GARBAGE IP, true
01:38:13, 00:23:D4:6A:B6:B9, GARBAGE IP, true
01:38:14, 00:23:D4:6A:B6:B9, GARBAGE IP, true
01:38:14, 00:23:D4:6A:B6:B9, GARBAGE IP, true
01:38:14, 00:23:D4:6A:B6:B9, GARBAGE IP, true
01:38:55, 00:23:D4:6A:B6:B9, 192.168.1.5, true
01:38:55, 00:23:D4:6A:B6:B9, GARBAGE IP, true
01:38:55, 00:23:D4:6A:B6:B9, GARBAGE IP, true
01:38:55, 00:23:D4:6A:B6:B9, GARBAGE IP, true
01:38:55, 00:23:D4:6A:B6:B9, GARBAGE IP, true
01:38:55, 00:23:D4:6A:B6:B9, GARBAGE IP, true
01:39:37, 00:23:D4:6A:B6:B9, 192.168.1.5, true
01:39:37, 00:23:D4:6A:B6:B9, GARBAGE IP, true
01:39:37, 00:23:D4:6A:B6:B9, GARBAGE IP, true
01:39:37, 00:23:D4:6A:B6:B9, GARBAGE IP, true
01:39:37, 00:23:D4:6A:B6:B9, GARBAGE IP, true
01:48:19, 00:23:D4:6A:B6:B9, GARBAGE, false
01:52:59, 00:23:D4:6A:B6:B9, GARBAGE, false
01:57:29, 00:23:D4:6A:B6:B9, GARBAGE, false
02:06:38, 00:23:D4:6A:B6:B9, GARBAGE, false
02:11:17, 00:23:D4:6A:B6:B9, GARBAGE, false
02:20:22, 00:23:D4:6A:B6:B9, GARBAGE, false
02:34:08, 00:23:D4:6A:B6:B9, GARBAGE, false
02:43:08, 00:23:D4:6A:B6:B9, 192.168.1.12, false
02:43:08, 00:23:D4:6A:B6:B9, GARBAGE IP, true
02:43:08, 00:23:D4:6A:B6:B9, GARBAGE IP, true
02:43:18, 00:23:D4:6A:B6:B9, GARBAGE, false
02:52:30, 00:23:D4:6A:B6:B9, GARBAGE, true
02:57:01, 00:23:D4:6A:B6:B9, GARBAGE, false
03:01:40, 00:23:D4:6A:B6:B9, GARBAGE, true
03:03:52, 00:23:D4:6A:B6:B9, 192.168.1.7, true
03:05:16, 00:23:D4:6A:B6:B9, 192.168.1.7, true
03:05:16, 00:23:D4:6A:B6:B9, GARBAGE IP, true
03:05:16, 00:23:D4:6A:B6:B9, GARBAGE IP, true
03:05:16, 00:23:D4:6A:B6:B9, GARBAGE IP, true
03:05:16, 00:23:D4:6A:B6:B9, GARBAGE IP, true
03:05:58, 00:23:D4:6A:B6:B9, 192.168.1.7, true
03:05:58, 00:23:D4:6A:B6:B9, GARBAGE IP, true
03:05:58, 00:23:D4:6A:B6:B9, GARBAGE IP, true
03:05:58, 00:23:D4:6A:B6:B9, GARBAGE IP, true
03:05:58, 00:23:D4:6A:B6:B9, GARBAGE IP, true
03:06:38, 00:23:D4:6A:B6:B9, 192.168.1.11, false
03:06:38, 00:23:D4:6A:B6:B9, GARBAGE IP, true
03:06:38, 00:23:D4:6A:B6:B9, GARBAGE IP, true
03:06:40, 00:23:D4:6A:B6:B9, 192.168.1.7, true
03:06:40, 00:23:D4:6A:B6:B9, GARBAGE IP, true
03:06:40, 00:23:D4:6A:B6:B9, GARBAGE IP, true
03:06:40, 00:23:D4:6A:B6:B9, GARBAGE IP, true
03:06:40, 00:23:D4:6A:B6:B9, GARBAGE IP, true
03:10:45, 00:23:D4:6A:B6:B9, GARBAGE, false
03:14:25, 00:23:D4:6A:B6:B9, 192.168.1.10, true
03:14:25, 00:23:D4:6A:B6:B9, GARBAGE IP, true
03:14:25, 00:23:D4:6A:B6:B9, GARBAGE IP, true
03:15:07, 00:23:D4:6A:B6:B9, 192.168.1.10, true
03:15:07, 00:23:D4:6A:B6:B9, GARBAGE IP, true
03:15:07, 00:23:D4:6A:B6:B9, GARBAGE IP, true
03:15:49, 00:23:D4:6A:B6:B9, 192.168.1.10, true
03:15:49, 00:23:D4:6A:B6:B9, GARBAGE IP, true
03:15:49, 00:23:D4:6A:B6:B9, GARBAGE IP, true
03:15:49, 00:23:D4:6A:B6:B9, 192.168.1.3, true
03:15:50, 00:23:D4:6A:B6:B9, GARBAGE IP, true
03:15:50, 00:23:D4:6A:B6:B9, GARBAGE IP, true
03:15:50, 00:23:D4:6A:B6:B9, GARBAGE IP, true
03:15:50, 00:23:D4:6A:B6:B9, GARBAGE IP, true
03:19:57, 00:23:D4:6A:B6:B9, GARBAGE, true
03:29:37, 00:23:D4:6A:B6:B9, 192.168.1.9, true
03:29:37, 00:23:D4:6A:B6:B9, GARBAGE IP, true
03:40:38, 00:23:D4:6A:B6:B9, 192.168.1.3, true
03:40:38, 00:23:D4:6A:B6:B9, GARBAGE IP, true
03:41:24, 00:23:D4:6A:B6:B9, 192.168.1.2, true
03:41:24, 00:23:D4:6A:B6:B9, GARBAGE IP, true
03:41:24, 00:23:D4:6A:B6:B9, GARBAGE IP, true
03:41:27, 00:23:D4:6A:B6:B9, 192.168.1.5, true
03:41:27, 00:23:D4:6A:B6:B9, GARBAGE IP, true
03:42:10, 00:23:D4:6A:B6:B9, 192.168.1.5, true
03:42:10, 00:23:D4:6A:B6:B9, GARBAGE IP, true
03:42:10, 00:23:D4:6A:B6:B9, GARBAGE IP, true
03:42:49, 00:23:D4:6A:B6:B9, GARBAGE, true
03:47:25, 00:23:D4:6A:B6:B9, GARBAGE, true
03:50:33, 00:23:D4:6A:B6:B9, 192.168.1.10, true
03:50:33, 00:23:D4:6A:B6:B9, GARBAGE IP, true
03:50:33, 00:23:D4:6A:B6:B9, GARBAGE IP, true
03:51:15, 00:23:D4:6A:B6:B9, 192.168.1.10, true
03:51:15, 00:23:D4:6A:B6:B9, GARBAGE IP, true
