23:43:20, 18:00:00, Battery: level = 100, scale = 100, status = 5, health = 2, plugged = 2, voltage = 4198
UConnect Schedule  prime=7
23:43:28, 18:00:07, Battery: level = 100, scale = 100, status = 4, health = 2, plugged = 0, voltage = 4125
00:13:43, 18:30:22, Battery: level = 99, scale = 100, status = 4, health = 2, plugged = 0, voltage = 4106
00:30:12, 18:46:51, Battery: level = 98, scale = 100, status = 4, health = 2, plugged = 0, voltage = 4104
01:00:10, 19:16:49, Battery: level = 97, scale = 100, status = 4, health = 2, plugged = 0, voltage = 4091
01:03:40, 19:20:19, Battery: level = 96, scale = 100, status = 4, health = 2, plugged = 0, voltage = 4088
01:12:09, 19:28:49, Battery: level = 95, scale = 100, status = 4, health = 2, plugged = 0, voltage = 4082
01:20:39, 19:37:18, Battery: level = 94, scale = 100, status = 4, health = 2, plugged = 0, voltage = 4080
01:33:08, 19:49:47, Battery: level = 93, scale = 100, status = 4, health = 2, plugged = 0, voltage = 4061
01:35:08, 19:51:47, Battery: level = 92, scale = 100, status = 4, health = 2, plugged = 0, voltage = 4059
01:52:37, 20:09:16, Battery: level = 91, scale = 100, status = 4, health = 2, plugged = 0, voltage = 4052
01:54:07, 20:10:46, Battery: level = 90, scale = 100, status = 4, health = 2, plugged = 0, voltage = 4045
01:56:07, 20:12:46, Battery: level = 89, scale = 100, status = 4, health = 2, plugged = 0, voltage = 4054
02:17:06, 20:33:45, Battery: level = 88, scale = 100, status = 4, health = 2, plugged = 0, voltage = 4043
02:41:34, 20:58:13, Battery: level = 87, scale = 100, status = 4, health = 2, plugged = 0, voltage = 4030
02:50:04, 21:06:43, Battery: level = 86, scale = 100, status = 4, health = 2, plugged = 0, voltage = 4019
02:54:33, 21:11:13, Battery: level = 85, scale = 100, status = 4, health = 2, plugged = 0, voltage = 4020
03:07:03, 21:23:42, Battery: level = 84, scale = 100, status = 4, health = 2, plugged = 0, voltage = 4018
03:09:02, 21:25:42, Battery: level = 83, scale = 100, status = 4, health = 2, plugged = 0, voltage = 4011
03:34:31, 21:51:10, Battery: level = 82, scale = 100, status = 4, health = 2, plugged = 0, voltage = 4005
03:38:01, 21:54:40, Battery: level = 81, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3995
03:46:30, 22:03:10, Battery: level = 80, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3990
04:11:29, 22:28:08, Battery: level = 79, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3977
04:24:28, 22:41:08, Battery: level = 78, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3968
04:26:28, 22:43:07, Battery: level = 77, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3950
04:27:58, 22:44:37, Battery: level = 76, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3950
04:31:58, 22:48:37, Battery: level = 75, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3937
04:33:27, 22:50:07, Battery: level = 74, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3938
04:34:57, 22:51:37, Battery: level = 73, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3944
05:11:55, 23:28:35, Battery: level = 72, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3937
05:20:25, 23:37:04, Battery: level = 71, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3933
05:28:24, 23:45:04, Battery: level = 70, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3926
05:42:53, 23:59:33, Battery: level = 69, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3925
05:49:53, 00:06:32, Battery: level = 68, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3914
06:04:22, 00:21:02, Battery: level = 67, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3909
06:18:51, 00:35:31, Battery: level = 66, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3907
06:20:21, 00:37:01, Battery: level = 65, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3899
06:45:50, 01:02:29, Battery: level = 64, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3890
06:49:20, 01:05:59, Battery: level = 63, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3919
07:00:19, 01:16:58, Battery: level = 62, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3876
07:08:18, 01:24:58, Battery: level = 61, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3863
07:13:48, 01:30:27, Battery: level = 60, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3867
07:20:18, 01:36:57, Battery: level = 59, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3867
07:21:48, 01:38:27, Battery: level = 58, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3861
07:22:18, 01:38:57, Battery: level = 57, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3824
07:25:47, 01:42:27, Battery: level = 56, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3797
07:25:48, 01:42:27, Battery: level = 55, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3797
07:28:17, 01:44:57, Battery: level = 54, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3838
07:56:46, 02:13:25, Battery: level = 53, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3816
08:13:00, 02:29:40, Battery: level = 53, scale = 100, status = 2, health = 2, plugged = 1, voltage = 3857
08:13:02, 02:29:41, Battery: level = 53, scale = 100, status = 2, health = 2, plugged = 2, voltage = 3916
