21:54:40, 00:23:D4:6A:BB:92, GARBAGE, false
21:56:14, 00:23:D4:6A:BB:92, 192.168.1.8, false
21:58:22, 00:23:D4:6A:BB:92, 192.168.1.8, false
21:58:22, 00:23:D4:6A:BB:92, GARBAGE IP, true
21:58:22, 00:23:D4:6A:BB:92, GARBAGE IP, true
21:58:22, 00:23:D4:6A:BB:92, GARBAGE IP, true
21:59:05, 00:23:D4:6A:BB:92, 192.168.1.8, false
21:59:05, 00:23:D4:6A:BB:92, GARBAGE IP, true
21:59:05, 00:23:D4:6A:BB:92, GARBAGE IP, true
21:59:05, 00:23:D4:6A:BB:92, GARBAGE IP, true
21:59:45, 00:23:D4:6A:BB:92, 192.168.1.5, false
21:59:45, 00:23:D4:6A:BB:92, GARBAGE IP, true
21:59:45, 00:23:D4:6A:BB:92, GARBAGE IP, true
21:59:45, 00:23:D4:6A:BB:92, GARBAGE IP, true
22:00:27, 00:23:D4:6A:BB:92, 192.168.1.5, false
22:00:27, 00:23:D4:6A:BB:92, GARBAGE IP, true
22:00:27, 00:23:D4:6A:BB:92, GARBAGE IP, true
22:00:27, 00:23:D4:6A:BB:92, GARBAGE IP, true
22:01:11, 00:23:D4:6A:BB:92, 192.168.1.10, true
22:01:11, 00:23:D4:6A:BB:92, GARBAGE IP, true
22:01:14, 00:23:D4:6A:BB:92, 192.168.1.1, false
22:01:14, 00:23:D4:6A:BB:92, GARBAGE IP, true
22:01:14, 00:23:D4:6A:BB:92, GARBAGE IP, true
22:01:14, 00:23:D4:6A:BB:92, GARBAGE IP, true
22:11:05, 00:23:D4:6A:BB:92, 192.168.1.3, true
22:11:05, 00:23:D4:6A:BB:92, GARBAGE IP, true
22:11:05, 00:23:D4:6A:BB:92, GARBAGE IP, true
22:11:05, 00:23:D4:6A:BB:92, GARBAGE IP, true
22:11:58, 00:23:D4:6A:BB:92, GARBAGE, true
22:16:39, 00:23:D4:6A:BB:92, 192.168.1.7, true
22:16:39, 00:23:D4:6A:BB:92, GARBAGE IP, true
22:16:39, 00:23:D4:6A:BB:92, GARBAGE IP, true
22:16:39, 00:23:D4:6A:BB:92, GARBAGE IP, true
22:21:30, 00:23:D4:6A:BB:92, GARBAGE, true
22:26:21, 00:23:D4:6A:BB:92, GARBAGE, true
22:31:01, 00:23:D4:6A:BB:92, GARBAGE, true
22:35:34, 00:23:D4:6A:BB:92, GARBAGE, true
22:41:18, 00:23:D4:6A:BB:92, 192.168.1.5, true
22:41:18, 00:23:D4:6A:BB:92, GARBAGE IP, true
22:41:18, 00:23:D4:6A:BB:92, GARBAGE IP, true
22:41:18, 00:23:D4:6A:BB:92, GARBAGE IP, true
22:44:45, 00:23:D4:6A:BB:92, GARBAGE, true
22:57:27, 00:23:D4:6A:BB:92, 192.168.1.3, true
22:57:27, 00:23:D4:6A:BB:92, GARBAGE IP, true
22:57:27, 00:23:D4:6A:BB:92, GARBAGE IP, true
22:57:27, 00:23:D4:6A:BB:92, GARBAGE IP, true
22:58:29, 00:23:D4:6A:BB:92, GARBAGE, true
23:07:47, 00:23:D4:6A:BB:92, GARBAGE, true
23:12:19, 00:23:D4:6A:BB:92, GARBAGE, true
23:21:36, 00:23:D4:6A:BB:92, GARBAGE, true
23:26:17, 00:23:D4:6A:BB:92, GARBAGE, true
23:33:03, 00:23:D4:6A:BB:92, GARBAGE, true
23:40:03, 00:23:D4:6A:BB:92, GARBAGE, true
23:42:16, 00:23:D4:6A:BB:92, GARBAGE, true
23:51:35, 00:23:D4:6A:BB:92, GARBAGE, true
23:56:09, 00:23:D4:6A:BB:92, GARBAGE, true
00:10:02, 00:23:D4:6A:BB:92, GARBAGE, true
00:12:17, 00:23:D4:6A:BB:92, GARBAGE, true
00:21:25, 00:23:D4:6A:BB:92, GARBAGE, true
00:25:57, 00:23:D4:6A:BB:92, GARBAGE, true
00:28:54, 00:23:D4:6A:BB:92, 192.168.1.7, true
00:28:54, 00:23:D4:6A:BB:92, GARBAGE IP, true
00:35:13, 00:23:D4:6A:BB:92, GARBAGE, true
00:37:17, 00:23:D4:6A:BB:92, GARBAGE, true
00:42:03, 00:23:D4:6A:BB:92, GARBAGE, true
00:55:53, 00:23:D4:6A:BB:92, GARBAGE, true
00:58:52, 00:23:D4:6A:BB:92, 192.168.1.9, true
00:58:52, 00:23:D4:6A:BB:92, GARBAGE IP, true
00:58:52, 00:23:D4:6A:BB:92, GARBAGE IP, true
00:58:52, 00:23:D4:6A:BB:92, GARBAGE IP, true
00:59:34, 00:23:D4:6A:BB:92, 192.168.1.9, true
00:59:34, 00:23:D4:6A:BB:92, GARBAGE IP, true
00:59:34, 00:23:D4:6A:BB:92, GARBAGE IP, true
00:59:34, 00:23:D4:6A:BB:92, GARBAGE IP, true
01:00:58, 00:23:D4:6A:BB:92, 192.168.1.9, true
01:00:58, 00:23:D4:6A:BB:92, GARBAGE IP, true
01:00:58, 00:23:D4:6A:BB:92, GARBAGE IP, true
01:11:57, 00:23:D4:6A:BB:92, GARBAGE, true
01:16:41, 00:23:D4:6A:BB:92, GARBAGE, true
01:21:08, 00:23:D4:6A:BB:92, GARBAGE, true
01:25:44, 00:23:D4:6A:BB:92, GARBAGE, true
01:30:27, 00:23:D4:6A:BB:92, GARBAGE, true
01:39:47, 00:23:D4:6A:BB:92, GARBAGE, true
01:44:34, 00:23:D4:6A:BB:92, GARBAGE, true
01:49:04, 00:23:D4:6A:BB:92, GARBAGE, true
02:03:07, 00:23:D4:6A:BB:92, GARBAGE, true
02:07:52, 00:23:D4:6A:BB:92, GARBAGE, true
02:12:24, 00:23:D4:6A:BB:92, GARBAGE, true
02:16:43, 00:23:D4:6A:BB:92, 192.168.1.6, true
02:16:43, 00:23:D4:6A:BB:92, GARBAGE IP, true
02:16:43, 00:23:D4:6A:BB:92, GARBAGE IP, true
02:16:43, 00:23:D4:6A:BB:92, GARBAGE IP, true
02:17:25, 00:23:D4:6A:BB:92, 192.168.1.6, true
02:17:25, 00:23:D4:6A:BB:92, GARBAGE IP, true
02:17:25, 00:23:D4:6A:BB:92, GARBAGE IP, true
02:17:25, 00:23:D4:6A:BB:92, GARBAGE IP, true
02:18:07, 00:23:D4:6A:BB:92, 192.168.1.6, true
02:18:07, 00:23:D4:6A:BB:92, GARBAGE IP, true
02:18:07, 00:23:D4:6A:BB:92, GARBAGE IP, true
02:18:07, 00:23:D4:6A:BB:92, GARBAGE IP, true
02:21:37, 00:23:D4:6A:BB:92, GARBAGE, true
02:26:08, 00:23:D4:6A:BB:92, GARBAGE, true
02:35:30, 00:23:D4:6A:BB:92, GARBAGE, true
02:40:00, 00:23:D4:6A:BB:92, GARBAGE, true
02:44:32, 00:23:D4:6A:BB:92, GARBAGE, true
02:47:27, 00:23:D4:6A:BB:92, 192.168.1.5, true
02:47:27, 00:23:D4:6A:BB:92, GARBAGE IP, true
02:47:27, 00:23:D4:6A:BB:92, GARBAGE IP, true
02:47:27, 00:23:D4:6A:BB:92, GARBAGE IP, true
02:48:55, 00:23:D4:6A:BB:92, 192.168.1.5, true
02:48:55, 00:23:D4:6A:BB:92, GARBAGE IP, true
02:48:55, 00:23:D4:6A:BB:92, GARBAGE IP, true
02:49:37, 00:23:D4:6A:BB:92, 192.168.1.5, true
