21:56:23, 00:23:D4:6A:F5:43, 192.168.1.1, false
21:56:23, 00:23:D4:6A:F5:43, GARBAGE IP, true
21:56:23, 00:23:D4:6A:F5:43, GARBAGE IP, true
21:56:33, 00:23:D4:6A:F5:43, GARBAGE, false
21:57:47, 00:23:D4:6A:F5:43, 192.168.1.2, false
21:57:47, 00:23:D4:6A:F5:43, GARBAGE IP, true
21:57:47, 00:23:D4:6A:F5:43, GARBAGE IP, true
21:57:47, 00:23:D4:6A:F5:43, GARBAGE IP, true
21:59:11, 00:23:D4:6A:F5:43, 192.168.1.10, true
21:59:11, 00:23:D4:6A:F5:43, 192.168.1.11, false
21:59:13, 00:23:D4:6A:F5:43, 192.168.1.12, false
22:00:35, 00:23:D4:6A:F5:43, 192.168.1.10, true
22:00:35, 00:23:D4:6A:F5:43, GARBAGE IP, true
22:00:35, 00:23:D4:6A:F5:43, GARBAGE IP, true
22:02:29, 00:23:D4:6A:F5:43, GARBAGE, true
22:12:49, 00:23:D4:6A:F5:43, 192.168.1.4, true
22:12:49, 00:23:D4:6A:F5:43, GARBAGE IP, true
22:12:49, 00:23:D4:6A:F5:43, GARBAGE IP, true
22:12:49, 00:23:D4:6A:F5:43, GARBAGE IP, true
22:23:22, 00:23:D4:6A:F5:43, GARBAGE, true
22:28:13, 00:23:D4:6A:F5:43, GARBAGE, true
22:31:49, 00:23:D4:6A:F5:43, 192.168.1.9, false
22:31:49, 00:23:D4:6A:F5:43, GARBAGE IP, true
22:31:49, 00:23:D4:6A:F5:43, GARBAGE IP, true
22:31:49, 00:23:D4:6A:F5:43, GARBAGE IP, true
22:32:31, 00:23:D4:6A:F5:43, 192.168.1.9, false
22:32:31, 00:23:D4:6A:F5:43, GARBAGE IP, true
22:32:31, 00:23:D4:6A:F5:43, GARBAGE IP, true
22:32:31, 00:23:D4:6A:F5:43, GARBAGE IP, true
22:33:13, 00:23:D4:6A:F5:43, 192.168.1.9, false
22:33:13, 00:23:D4:6A:F5:43, GARBAGE IP, true
22:33:13, 00:23:D4:6A:F5:43, GARBAGE IP, true
22:33:13, 00:23:D4:6A:F5:43, GARBAGE IP, true
22:33:55, 00:23:D4:6A:F5:43, 192.168.1.9, false
22:33:55, 00:23:D4:6A:F5:43, GARBAGE IP, true
22:33:55, 00:23:D4:6A:F5:43, GARBAGE IP, true
22:37:23, 00:23:D4:6A:F5:43, GARBAGE, true
22:47:48, 00:23:D4:6A:F5:43, 192.168.1.1, true
22:47:48, 00:23:D4:6A:F5:43, GARBAGE IP, true
22:47:48, 00:23:D4:6A:F5:43, GARBAGE IP, true
22:58:09, 00:23:D4:6A:F5:43, GARBAGE, true
23:02:16, 00:23:D4:6A:F5:43, GARBAGE, true
23:05:00, 00:23:D4:6A:F5:43, GARBAGE, true
23:14:17, 00:23:D4:6A:F5:43, GARBAGE, true
23:18:44, 00:23:D4:6A:F5:43, GARBAGE, true
23:23:15, 00:23:D4:6A:F5:43, GARBAGE, true
23:30:29, 00:23:D4:6A:F5:43, GARBAGE, true
23:37:05, 00:23:D4:6A:F5:43, GARBAGE, true
23:39:33, 00:23:D4:6A:F5:43, GARBAGE, true
23:43:10, 00:23:D4:6A:F5:43, 192.168.1.7, true
23:43:11, 00:23:D4:6A:F5:43, GARBAGE IP, true
23:43:11, 00:23:D4:6A:F5:43, GARBAGE IP, true
23:48:44, 00:23:D4:6A:F5:43, GARBAGE, true
23:53:15, 00:23:D4:6A:F5:43, GARBAGE, true
00:02:46, 00:23:D4:6A:F5:43, GARBAGE, true
00:07:11, 00:23:D4:6A:F5:43, GARBAGE, true
00:10:14, 00:23:D4:6A:F5:43, 192.168.1.10, true
00:10:14, 00:23:D4:6A:F5:43, GARBAGE IP, true
00:10:14, 00:23:D4:6A:F5:43, GARBAGE IP, true
00:14:04, 00:23:D4:6A:F5:43, GARBAGE, true
00:18:42, 00:23:D4:6A:F5:43, GARBAGE, true
00:23:07, 00:23:D4:6A:F5:43, GARBAGE, true
00:25:25, 00:23:D4:6A:F5:43, 192.168.1.9, false
00:25:25, 00:23:D4:6A:F5:43, GARBAGE IP, true
00:25:25, 00:23:D4:6A:F5:43, GARBAGE IP, true
00:25:25, 00:23:D4:6A:F5:43, GARBAGE IP, true
00:26:51, 00:23:D4:6A:F5:43, 192.168.1.7, true
00:26:51, 00:23:D4:6A:F5:43, GARBAGE IP, true
00:26:51, 00:23:D4:6A:F5:43, GARBAGE IP, true
00:26:51, 00:23:D4:6A:F5:43, GARBAGE IP, true
00:36:55, 00:23:D4:6A:F5:43, GARBAGE, true
00:43:49, 00:23:D4:6A:F5:43, GARBAGE, true
00:48:20, 00:23:D4:6A:F5:43, GARBAGE, true
00:53:03, 00:23:D4:6A:F5:43, GARBAGE, true
01:02:21, 00:23:D4:6A:F5:43, GARBAGE, true
01:13:45, 00:23:D4:6A:F5:43, GARBAGE, true
01:14:55, 00:23:D4:6A:F5:43, 192.168.1.11, true
01:14:55, 00:23:D4:6A:F5:43, GARBAGE IP, true
01:14:55, 00:23:D4:6A:F5:43, GARBAGE IP, true
01:14:55, 00:23:D4:6A:F5:43, GARBAGE IP, true
01:18:27, 00:23:D4:6A:F5:43, GARBAGE, true
01:27:32, 00:23:D4:6A:F5:43, GARBAGE, true
01:32:14, 00:23:D4:6A:F5:43, GARBAGE, true
01:37:02, 00:23:D4:6A:F5:43, GARBAGE, true
01:46:18, 00:23:D4:6A:F5:43, GARBAGE, true
01:50:47, 00:23:D4:6A:F5:43, GARBAGE, true
01:55:26, 00:23:D4:6A:F5:43, GARBAGE, true
01:59:59, 00:23:D4:6A:F5:43, GARBAGE, true
02:09:38, 00:23:D4:6A:F5:43, GARBAGE, true
02:14:05, 00:23:D4:6A:F5:43, GARBAGE, true
02:18:44, 00:23:D4:6A:F5:43, GARBAGE, true
02:23:18, 00:23:D4:6A:F5:43, GARBAGE, true
02:32:30, 00:23:D4:6A:F5:43, GARBAGE, true
02:37:16, 00:23:D4:6A:F5:43, GARBAGE, true
02:41:42, 00:23:D4:6A:F5:43, GARBAGE, true
02:50:56, 00:23:D4:6A:F5:43, GARBAGE, true
02:55:34, 00:23:D4:6A:F5:43, GARBAGE, true
03:00:04, 00:23:D4:6A:F5:43, GARBAGE, true
03:04:37, 00:23:D4:6A:F5:43, GARBAGE, true
03:11:30, 00:23:D4:6A:F5:43, GARBAGE, true
03:14:03, 00:23:D4:6A:F5:43, GARBAGE, true
03:18:31, 00:23:D4:6A:F5:43, GARBAGE, true
03:22:55, 00:23:D4:6A:F5:43, 192.168.1.5, true
03:22:55, 00:23:D4:6A:F5:43, GARBAGE IP, true
03:22:55, 00:23:D4:6A:F5:43, GARBAGE IP, true
03:22:55, 00:23:D4:6A:F5:43, GARBAGE IP, true
03:23:36, 00:23:D4:6A:F5:43, 192.168.1.5, true
03:23:36, 00:23:D4:6A:F5:43, GARBAGE IP, true
03:23:36, 00:23:D4:6A:F5:43, GARBAGE IP, true
03:23:37, 00:23:D4:6A:F5:43, GARBAGE IP, true
03:24:18, 00:23:D4:6A:F5:43, 192.168.1.5, true
03:24:18, 00:23:D4:6A:F5:43, GARBAGE IP, true
03:24:18, 00:23:D4:6A:F5:43, GARBAGE IP, true
03:24:18, 00:23:D4:6A:F5:43, GARBAGE IP, true
03:27:43, 00:23:D4:6A:F5:43, GARBAGE, true
03:32:19, 00:23:D4:6A:F5:43, GARBAGE, true
03:34:31, 00:23:D4:6A:F5:43, GARBAGE, true
03:39:58, 00:23:D4:6A:F5:43, GARBAGE, true
03:49:15, 00:23:D4:6A:F5:43, GARBAGE, true
03:58:25, 00:23:D4:6A:F5:43, GARBAGE, true
04:00:37, 00:23:D4:6A:F5:43, GARBAGE, true
04:01:23, 00:23:D4:6A:F5:43, 192.168.1.11, true
04:01:23, 00:23:D4:6A:F5:43, GARBAGE IP, true
04:01:23, 00:23:D4:6A:F5:43, GARBAGE IP, true
04:01:23, 00:23:D4:6A:F5:43, GARBAGE IP, true
04:04:20, 00:23:D4:6A:F5:43, 192.168.1.2, true
04:04:20, 00:23:D4:6A:F5:43, GARBAGE IP, true
04:04:20, 00:23:D4:6A:F5:43, GARBAGE IP, true
04:04:20, 00:23:D4:6A:F5:43, GARBAGE IP, true
04:06:03, 00:23:D4:6A:F5:43, GARBAGE, true
04:12:00, 00:23:D4:6A:F5:43, GARBAGE, true
04:18:57, 00:23:D4:6A:F5:43, GARBAGE, true
04:24:03, 00:23:D4:6A:F5:43, 192.168.1.10, true
04:24:03, 00:23:D4:6A:F5:43, GARBAGE IP, true
04:24:03, 00:23:D4:6A:F5:43, GARBAGE IP, true
04:24:03, 00:23:D4:6A:F5:43, GARBAGE IP, true
04:39:30, 00:23:D4:6A:F5:43, GARBAGE, true
04:44:05, 00:23:D4:6A:F5:43, GARBAGE, true
04:48:43, 00:23:D4:6A:F5:43, GARBAGE, true
05:02:24, 00:23:D4:6A:F5:43, 192.168.1.4, true
05:02:24, 00:23:D4:6A:F5:43, GARBAGE IP, true
05:02:24, 00:23:D4:6A:F5:43, GARBAGE IP, true
05:02:25, 00:23:D4:6A:F5:43, GARBAGE IP, true
05:07:10, 00:23:D4:6A:F5:43, GARBAGE, true
05:14:01, 00:23:D4:6A:F5:43, GARBAGE, true
05:18:34, 00:23:D4:6A:F5:43, GARBAGE, true
05:27:49, 00:23:D4:6A:F5:43, GARBAGE, true
05:37:16, 00:23:D4:6A:F5:43, GARBAGE, true
05:41:58, 00:23:D4:6A:F5:43, GARBAGE, true
05:46:36, 00:23:D4:6A:F5:43, GARBAGE, true
05:50:49, 00:23:D4:6A:F5:43, 192.168.1.7, true
05:50:49, 00:23:D4:6A:F5:43, GARBAGE IP, true
05:50:49, 00:23:D4:6A:F5:43, GARBAGE IP, true
05:50:49, 00:23:D4:6A:F5:43, GARBAGE IP, true
05:51:32, 00:23:D4:6A:F5:43, 192.168.1.5, true
05:51:32, 00:23:D4:6A:F5:43, GARBAGE IP, true
05:51:32, 00:23:D4:6A:F5:43, GARBAGE IP, true
05:51:32, 00:23:D4:6A:F5:43, GARBAGE IP, true
05:57:54, 00:23:D4:6A:F5:43, GARBAGE, true
06:00:07, 00:23:D4:6A:F5:43, 192.168.1.6, true
06:00:07, 00:23:D4:6A:F5:43, GARBAGE IP, true
06:00:07, 00:23:D4:6A:F5:43, GARBAGE IP, true
06:00:07, 00:23:D4:6A:F5:43, GARBAGE IP, true
06:00:49, 00:23:D4:6A:F5:43, 192.168.1.6, true
06:00:49, 00:23:D4:6A:F5:43, GARBAGE IP, true
06:00:49, 00:23:D4:6A:F5:43, GARBAGE IP, true
06:00:49, 00:23:D4:6A:F5:43, GARBAGE IP, true
06:01:31, 00:23:D4:6A:F5:43, 192.168.1.6, true
06:01:31, 00:23:D4:6A:F5:43, GARBAGE IP, true
06:01:31, 00:23:D4:6A:F5:43, GARBAGE IP, true
06:01:31, 00:23:D4:6A:F5:43, GARBAGE IP, true
06:02:12, 00:23:D4:6A:F5:43, 192.168.1.5, true
