21:55:44, 00:23:D4:69:79:1C, 192.168.1.10, false
21:55:44, 00:23:D4:69:79:1C, 192.168.1.11, false
21:57:08, 00:23:D4:69:79:1C, 192.168.1.11, false
21:57:08, 00:23:D4:69:79:1C, GARBAGE IP, true
21:57:08, 00:23:D4:69:79:1C, GARBAGE IP, true
21:57:42, 00:23:D4:69:79:1C, GARBAGE, true
21:58:43, 00:23:D4:69:79:1C, GARBAGE, false
22:01:39, 00:23:D4:69:79:1C, 192.168.1.10, false
22:01:39, 00:23:D4:69:79:1C, GARBAGE IP, true
22:01:39, 00:23:D4:69:79:1C, GARBAGE IP, true
22:01:39, 00:23:D4:69:79:1C, GARBAGE IP, true
22:03:21, 00:23:D4:69:79:1C, GARBAGE, false
22:12:58, 00:23:D4:69:79:1C, GARBAGE, true
22:17:42, 00:23:D4:69:79:1C, GARBAGE, true
22:19:52, 00:23:D4:69:79:1C, GARBAGE, false
22:24:26, 00:23:D4:69:79:1C, GARBAGE, true
22:33:35, 00:23:D4:69:79:1C, GARBAGE, true
22:38:20, 00:23:D4:69:79:1C, GARBAGE, true
22:43:02, 00:23:D4:69:79:1C, GARBAGE, false
22:47:36, 00:23:D4:69:79:1C, GARBAGE, true
22:52:11, 00:23:D4:69:79:1C, GARBAGE, true
22:54:29, 00:23:D4:69:79:1C, 192.168.1.6, false
22:54:29, 00:23:D4:69:79:1C, GARBAGE IP, true
22:54:29, 00:23:D4:69:79:1C, GARBAGE IP, true
22:54:29, 00:23:D4:69:79:1C, GARBAGE IP, true
22:55:49, 00:23:D4:69:79:1C, 192.168.1.3, false
22:55:49, 00:23:D4:69:79:1C, GARBAGE IP, true
22:55:49, 00:23:D4:69:79:1C, GARBAGE IP, true
22:55:49, 00:23:D4:69:79:1C, GARBAGE IP, true
22:55:52, 00:23:D4:69:79:1C, 192.168.1.4, true
22:55:52, 00:23:D4:69:79:1C, GARBAGE IP, true
22:55:52, 00:23:D4:69:79:1C, GARBAGE IP, true
22:56:31, 00:23:D4:69:79:1C, 192.168.1.3, true
22:56:31, 00:23:D4:69:79:1C, GARBAGE IP, true
22:56:31, 00:23:D4:69:79:1C, GARBAGE IP, true
22:56:31, 00:23:D4:69:79:1C, GARBAGE IP, true
23:01:30, 00:23:D4:69:79:1C, GARBAGE, false
23:03:31, 00:23:D4:69:79:1C, GARBAGE, true
23:12:44, 00:23:D4:69:79:1C, GARBAGE, false
23:14:53, 00:23:D4:69:79:1C, GARBAGE, true
23:19:31, 00:23:D4:69:79:1C, GARBAGE, false
23:25:13, 00:23:D4:69:79:1C, 192.168.1.1, true
23:25:13, 00:23:D4:69:79:1C, GARBAGE IP, true
23:25:13, 00:23:D4:69:79:1C, GARBAGE IP, true
23:25:13, 00:23:D4:69:79:1C, GARBAGE IP, true
23:28:40, 00:23:D4:69:79:1C, GARBAGE, true
23:33:19, 00:23:D4:69:79:1C, GARBAGE, false
23:38:03, 00:23:D4:69:79:1C, GARBAGE, true
23:47:18, 00:23:D4:69:79:1C, GARBAGE, false
23:49:22, 00:23:D4:69:79:1C, GARBAGE, true
23:58:50, 00:23:D4:69:79:1C, GARBAGE, true
00:03:34, 00:23:D4:69:79:1C, GARBAGE, true
00:10:13, 00:23:D4:69:79:1C, GARBAGE, true
00:19:41, 00:23:D4:69:79:1C, GARBAGE, false
00:26:10, 00:23:D4:69:79:1C, GARBAGE, false
00:35:27, 00:23:D4:69:79:1C, GARBAGE, false
00:40:05, 00:23:D4:69:79:1C, GARBAGE, true
00:50:11, 00:23:D4:69:79:1C, GARBAGE, false
01:04:00, 00:23:D4:69:79:1C, GARBAGE, true
01:06:15, 00:23:D4:69:79:1C, GARBAGE, true
01:09:48, 00:23:D4:69:79:1C, 192.168.1.6, false
01:09:48, 00:23:D4:69:79:1C, GARBAGE IP, true
01:09:48, 00:23:D4:69:79:1C, GARBAGE IP, true
01:09:48, 00:23:D4:69:79:1C, GARBAGE IP, true
01:13:06, 00:23:D4:69:79:1C, GARBAGE, true
01:15:23, 00:23:D4:69:79:1C, GARBAGE, true
01:17:45, 00:23:D4:69:79:1C, GARBAGE, false
01:22:14, 00:23:D4:69:79:1C, GARBAGE, true
01:26:50, 00:23:D4:69:79:1C, GARBAGE, true
01:35:59, 00:23:D4:69:79:1C, GARBAGE, true
01:40:35, 00:23:D4:69:79:1C, GARBAGE, true
