21:57:52, 00:23:D4:6A:B6:B9, 192.168.1.9, false
21:58:29, 00:23:D4:6A:B6:B9, GARBAGE, false
22:03:04, 00:23:D4:6A:B6:B9, GARBAGE, false
22:05:30, 00:23:D4:6A:B6:B9, GARBAGE, false
22:10:12, 00:23:D4:6A:B6:B9, GARBAGE, false
22:14:41, 00:23:D4:6A:B6:B9, GARBAGE, false
22:28:44, 00:23:D4:6A:B6:B9, GARBAGE, false
22:33:30, 00:23:D4:6A:B6:B9, GARBAGE, false
22:40:11, 00:23:D4:6A:B6:B9, GARBAGE, false
22:42:29, 00:23:D4:6A:B6:B9, GARBAGE, false
22:56:38, 00:23:D4:6A:B6:B9, GARBAGE, false
23:01:21, 00:23:D4:6A:B6:B9, GARBAGE, false
23:10:33, 00:23:D4:6A:B6:B9, GARBAGE, false
23:15:03, 00:23:D4:6A:B6:B9, GARBAGE, false
23:19:44, 00:23:D4:6A:B6:B9, GARBAGE, false
23:28:55, 00:23:D4:6A:B6:B9, GARBAGE, false
23:33:25, 00:23:D4:6A:B6:B9, GARBAGE, false
23:38:06, 00:23:D4:6A:B6:B9, GARBAGE, false
23:47:11, 00:23:D4:6A:B6:B9, GARBAGE, false
23:56:27, 00:23:D4:6A:B6:B9, GARBAGE, false
00:01:05, 00:23:D4:6A:B6:B9, GARBAGE, false
00:05:37, 00:23:D4:6A:B6:B9, GARBAGE, false
00:15:23, 00:23:D4:6A:B6:B9, 192.168.1.5, false
00:15:23, 00:23:D4:6A:B6:B9, GARBAGE IP, true
00:15:23, 00:23:D4:6A:B6:B9, GARBAGE IP, true
00:19:23, 00:23:D4:6A:B6:B9, GARBAGE, true
00:23:46, 00:23:D4:6A:B6:B9, 192.168.1.8, false
00:23:46, 00:23:D4:6A:B6:B9, GARBAGE IP, true
00:23:46, 00:23:D4:6A:B6:B9, GARBAGE IP, true
00:23:46, 00:23:D4:6A:B6:B9, GARBAGE IP, true
00:26:51, 00:23:D4:6A:B6:B9, 192.168.1.3, false
00:26:51, 00:23:D4:6A:B6:B9, GARBAGE IP, true
00:26:51, 00:23:D4:6A:B6:B9, GARBAGE IP, true
00:26:51, 00:23:D4:6A:B6:B9, GARBAGE IP, true
00:34:09, 00:23:D4:6A:B6:B9, GARBAGE, true
00:38:33, 00:23:D4:6A:B6:B9, GARBAGE, true
00:47:44, 00:23:D4:6A:B6:B9, GARBAGE, true
00:57:30, 00:23:D4:6A:B6:B9, 192.168.1.5, false
00:57:30, 00:23:D4:6A:B6:B9, GARBAGE IP, true
00:57:30, 00:23:D4:6A:B6:B9, GARBAGE IP, true
01:06:10, 00:23:D4:6A:B6:B9, GARBAGE, false
01:07:52, 00:23:D4:6A:B6:B9, 192.168.1.8, false
01:07:52, 00:23:D4:6A:B6:B9, GARBAGE IP, true
01:07:52, 00:23:D4:6A:B6:B9, GARBAGE IP, true
01:07:52, 00:23:D4:6A:B6:B9, GARBAGE IP, true
01:13:21, 00:23:D4:6A:B6:B9, GARBAGE, true
01:18:05, 00:23:D4:6A:B6:B9, GARBAGE, true
01:27:35, 00:23:D4:6A:B6:B9, GARBAGE, false
01:33:23, 00:23:D4:6A:B6:B9, 192.168.1.1, true
01:33:23, 00:23:D4:6A:B6:B9, GARBAGE IP, true
01:33:23, 00:23:D4:6A:B6:B9, GARBAGE IP, true
01:33:23, 00:23:D4:6A:B6:B9, GARBAGE IP, true
01:34:03, 00:23:D4:6A:B6:B9, GARBAGE, true
01:38:39, 00:23:D4:6A:B6:B9, GARBAGE, true
01:43:08, 00:23:D4:6A:B6:B9, GARBAGE, false
01:47:52, 00:23:D4:6A:B6:B9, GARBAGE, true
01:51:37, 00:23:D4:6A:B6:B9, 192.168.1.10, true
