21:55:46, 00:23:D4:6A:D1:B8, 192.168.1.2, false
21:55:46, 00:23:D4:6A:D1:B8, GARBAGE IP, true
21:55:46, 00:23:D4:6A:D1:B8, GARBAGE IP, true
21:55:46, 00:23:D4:6A:D1:B8, GARBAGE IP, true
21:59:49, 00:23:D4:6A:D1:B8, GARBAGE, false
22:01:59, 00:23:D4:6A:D1:B8, GARBAGE, false
22:08:56, 00:23:D4:6A:D1:B8, GARBAGE, false
22:11:57, 00:23:D4:6A:D1:B8, 192.168.1.8, false
22:11:57, 00:23:D4:6A:D1:B8, GARBAGE IP, true
22:11:57, 00:23:D4:6A:D1:B8, GARBAGE IP, true
22:18:06, 00:23:D4:6A:D1:B8, GARBAGE, false
22:23:05, 00:23:D4:6A:D1:B8, GARBAGE, false
22:32:10, 00:23:D4:6A:D1:B8, GARBAGE, false
22:36:50, 00:23:D4:6A:D1:B8, GARBAGE, false
22:38:59, 00:23:D4:6A:D1:B8, GARBAGE, false
22:45:58, 00:23:D4:6A:D1:B8, GARBAGE, false
22:50:58, 00:23:D4:6A:D1:B8, GARBAGE, false
23:00:07, 00:23:D4:6A:D1:B8, GARBAGE, false
23:04:42, 00:23:D4:6A:D1:B8, GARBAGE, false
23:09:21, 00:23:D4:6A:D1:B8, GARBAGE, false
23:18:30, 00:23:D4:6A:D1:B8, GARBAGE, false
23:23:05, 00:23:D4:6A:D1:B8, GARBAGE, false
23:27:40, 00:23:D4:6A:D1:B8, GARBAGE, false
23:36:54, 00:23:D4:6A:D1:B8, GARBAGE, false
23:41:25, 00:23:D4:6A:D1:B8, GARBAGE, false
23:50:37, 00:23:D4:6A:D1:B8, GARBAGE, false
23:55:12, 00:23:D4:6A:D1:B8, GARBAGE, false
23:59:53, 00:23:D4:6A:D1:B8, GARBAGE, false
00:09:03, 00:23:D4:6A:D1:B8, GARBAGE, false
00:13:42, 00:23:D4:6A:D1:B8, GARBAGE, false
00:22:48, 00:23:D4:6A:D1:B8, GARBAGE, false
00:32:49, 00:23:D4:6A:D1:B8, GARBAGE, false
00:42:04, 00:23:D4:6A:D1:B8, GARBAGE, false
00:46:21, 00:23:D4:6A:D1:B8, 192.168.1.8, false
00:46:21, 00:23:D4:6A:D1:B8, GARBAGE IP, true
00:46:21, 00:23:D4:6A:D1:B8, GARBAGE IP, true
00:46:21, 00:23:D4:6A:D1:B8, GARBAGE IP, true
00:51:09, 00:23:D4:6A:D1:B8, GARBAGE, false
00:55:48, 00:23:D4:6A:D1:B8, GARBAGE, false
01:00:19, 00:23:D4:6A:D1:B8, GARBAGE, false
01:04:58, 00:23:D4:6A:D1:B8, GARBAGE, false
01:07:40, 00:23:D4:6A:D1:B8, GARBAGE, false
01:16:50, 00:23:D4:6A:D1:B8, GARBAGE, false
01:29:22, 00:23:D4:6A:D1:B8, 192.168.1.1, true
01:29:22, 00:23:D4:6A:D1:B8, GARBAGE IP, true
01:29:22, 00:23:D4:6A:D1:B8, GARBAGE IP, true
01:29:22, 00:23:D4:6A:D1:B8, GARBAGE IP, true
01:31:04, 00:23:D4:6A:D1:B8, GARBAGE, false
01:32:46, 00:23:D4:6A:D1:B8, GARBAGE, false
01:42:04, 00:23:D4:6A:D1:B8, GARBAGE, false
01:46:35, 00:23:D4:6A:D1:B8, GARBAGE, false
01:56:03, 00:23:D4:6A:D1:B8, GARBAGE, false
