17:28:37, 00:23:D4:6A:BB:92, GARBAGE, true
17:29:15, 00:23:D4:6A:BB:92, 192.168.1.2, true
17:29:15, 00:23:D4:6A:BB:92, GARBAGE IP, true
17:29:15, 00:23:D4:6A:BB:92, GARBAGE IP, true
17:29:15, 00:23:D4:6A:BB:92, GARBAGE IP, true
17:29:15, 00:23:D4:6A:BB:92, GARBAGE IP, true
17:29:18, 00:23:D4:6A:BB:92, 192.168.1.8, true
17:29:18, 00:23:D4:6A:BB:92, GARBAGE IP, true
17:31:17, 00:23:D4:6A:BB:92, GARBAGE, true
17:32:02, 00:23:D4:6A:BB:92, GARBAGE, true
17:34:58, 00:23:D4:6A:BB:92, GARBAGE, true
17:39:00, 00:23:D4:6A:BB:92, 192.168.1.11, true
17:39:00, 00:23:D4:6A:BB:92, GARBAGE IP, true
17:44:23, 00:23:D4:6A:BB:92, GARBAGE, true
17:52:50, 00:23:D4:6A:BB:92, GARBAGE, true
17:57:29, 00:23:D4:6A:BB:92, GARBAGE, true
18:00:42, 00:23:D4:6A:BB:92, GARBAGE, true
18:05:21, 00:23:D4:6A:BB:92, GARBAGE, true
18:13:07, 00:23:D4:6A:BB:92, GARBAGE, true
18:16:23, 00:23:D4:6A:BB:92, GARBAGE, true
18:21:00, 00:23:D4:6A:BB:92, GARBAGE, true
18:26:22, 00:23:D4:6A:BB:92, 192.168.1.6, true
18:26:22, 00:23:D4:6A:BB:92, GARBAGE IP, true
18:26:23, 00:23:D4:6A:BB:92, GARBAGE IP, true
18:26:23, 00:23:D4:6A:BB:92, GARBAGE IP, true
18:26:23, 00:23:D4:6A:BB:92, GARBAGE IP, true
18:26:23, 00:23:D4:6A:BB:92, GARBAGE IP, true
18:26:23, 00:23:D4:6A:BB:92, GARBAGE IP, true
18:27:06, 00:23:D4:6A:BB:92, 192.168.1.6, true
18:27:07, 00:23:D4:6A:BB:92, GARBAGE IP, true
18:27:07, 00:23:D4:6A:BB:92, GARBAGE IP, true
18:27:07, 00:23:D4:6A:BB:92, GARBAGE IP, true
18:27:07, 00:23:D4:6A:BB:92, GARBAGE IP, true
18:27:07, 00:23:D4:6A:BB:92, GARBAGE IP, true
18:27:07, 00:23:D4:6A:BB:92, GARBAGE IP, true
18:28:24, 00:23:D4:6A:BB:92, GARBAGE, true
18:31:39, 00:23:D4:6A:BB:92, GARBAGE, true
18:40:43, 00:23:D4:6A:BB:92, GARBAGE, true
18:46:07, 00:23:D4:6A:BB:92, GARBAGE, true
18:50:30, 00:23:D4:6A:BB:92, GARBAGE, true
18:55:17, 00:23:D4:6A:BB:92, GARBAGE, true
18:58:25, 00:23:D4:6A:BB:92, GARBAGE, true
19:03:02, 00:23:D4:6A:BB:92, GARBAGE, true
19:10:46, 00:23:D4:6A:BB:92, GARBAGE, true
19:15:16, 00:23:D4:6A:BB:92, GARBAGE, true
19:19:59, 00:23:D4:6A:BB:92, GARBAGE, true
19:25:16, 00:23:D4:6A:BB:92, GARBAGE, true
19:32:50, 00:23:D4:6A:BB:92, GARBAGE, true
19:35:45, 00:23:D4:6A:BB:92, GARBAGE, true
19:40:26, 00:23:D4:6A:BB:92, GARBAGE, true
