17:25:08, 00:23:D4:6A:BF:DE, GARBAGE, true
17:25:19, 00:23:D4:6A:BF:DE, GARBAGE, true
17:31:33, 00:23:D4:6A:BF:DE, 192.168.1.4, true
17:31:33, 00:23:D4:6A:BF:DE, GARBAGE IP, true
17:31:33, 00:23:D4:6A:BF:DE, GARBAGE IP, true
17:31:33, 00:23:D4:6A:BF:DE, GARBAGE IP, true
17:32:51, 00:23:D4:6A:BF:DE, GARBAGE, true
17:37:40, 00:23:D4:6A:BF:DE, GARBAGE, true
17:46:13, 00:23:D4:6A:BF:DE, GARBAGE, true
17:50:46, 00:23:D4:6A:BF:DE, GARBAGE, true
18:02:02, 00:23:D4:6A:BF:DE, GARBAGE, true
18:06:29, 00:23:D4:6A:BF:DE, GARBAGE, true
18:11:26, 00:23:D4:6A:BF:DE, 192.168.1.10, true
18:11:26, 00:23:D4:6A:BF:DE, GARBAGE IP, true
18:11:26, 00:23:D4:6A:BF:DE, GARBAGE IP, true
18:11:26, 00:23:D4:6A:BF:DE, GARBAGE IP, true
18:11:26, 00:23:D4:6A:BF:DE, GARBAGE IP, true
18:11:26, 00:23:D4:6A:BF:DE, GARBAGE IP, true
18:14:14, 00:23:D4:6A:BF:DE, GARBAGE, true
18:17:33, 00:23:D4:6A:BF:DE, GARBAGE, true
18:22:04, 00:23:D4:6A:BF:DE, GARBAGE, true
18:29:33, 00:23:D4:6A:BF:DE, GARBAGE, true
18:34:12, 00:23:D4:6A:BF:DE, GARBAGE, true
18:35:13, 00:23:D4:6A:BF:DE, GARBAGE, true
18:39:25, 00:23:D4:6A:BF:DE, GARBAGE, true
18:39:51, 00:23:D4:6A:BF:DE, GARBAGE, true
18:48:35, 00:23:D4:6A:BF:DE, GARBAGE, true
18:56:20, 00:23:D4:6A:BF:DE, GARBAGE, true
18:57:13, 00:23:D4:6A:BF:DE, 192.168.1.9, true
18:57:13, 00:23:D4:6A:BF:DE, GARBAGE IP, true
19:04:06, 00:23:D4:6A:BF:DE, GARBAGE, true
19:08:52, 00:23:D4:6A:BF:DE, GARBAGE, true
19:13:17, 00:23:D4:6A:BF:DE, GARBAGE, true
19:15:29, 00:23:D4:6A:BF:DE, GARBAGE, true
19:21:58, 00:23:D4:6A:BF:DE, GARBAGE, true
19:26:21, 00:23:D4:6A:BF:DE, GARBAGE, true
19:26:33, 00:23:D4:6A:BF:DE, GARBAGE, true
19:33:43, 00:23:D4:6A:BF:DE, GARBAGE, true
19:37:00, 00:23:D4:6A:BF:DE, GARBAGE, true
19:48:19, 00:23:D4:6A:BF:DE, GARBAGE, true
19:52:56, 00:23:D4:6A:BF:DE, GARBAGE, true
19:56:54, 00:23:D4:6A:BF:DE, GARBAGE, true
19:59:42, 00:23:D4:6A:BF:DE, GARBAGE, true
20:02:41, 00:23:D4:6A:BF:DE, GARBAGE, true
20:05:42, 00:23:D4:6A:BF:DE, GARBAGE, true
20:08:08, 00:23:D4:6A:BF:DE, GARBAGE, true
20:08:08, 00:23:D4:6A:BF:DE, GARBAGE, true
20:12:38, 00:23:D4:6A:BF:DE, GARBAGE, true
20:12:43, 00:23:D4:6A:BF:DE, GARBAGE, true
20:12:58, 00:23:D4:6A:BF:DE, 192.168.1.4, true
20:12:58, 00:23:D4:6A:BF:DE, GARBAGE IP, true
20:12:59, 00:23:D4:6A:BF:DE, 192.168.1.1, true
20:17:04, 00:23:D4:6A:BF:DE, 192.168.1.12, true
20:17:05, 00:23:D4:6A:BF:DE, GARBAGE IP, true
20:17:05, 00:23:D4:6A:BF:DE, GARBAGE IP, true
20:17:05, 00:23:D4:6A:BF:DE, GARBAGE IP, true
20:17:06, 00:23:D4:6A:BF:DE, 192.168.1.4, true
20:17:06, 00:23:D4:6A:BF:DE, GARBAGE IP, true
20:23:59, 00:23:D4:6A:BF:DE, GARBAGE, true
20:24:02, 00:23:D4:6A:BF:DE, GARBAGE, true
20:25:14, 00:23:D4:6A:BF:DE, 192.168.1.2, true
20:25:14, 00:23:D4:6A:BF:DE, GARBAGE IP, true
20:25:14, 00:23:D4:6A:BF:DE, GARBAGE IP, true
20:27:04, 00:23:D4:6A:BF:DE, GARBAGE, true
20:27:38, 00:23:D4:6A:BF:DE, 192.168.1.3, true
20:27:40, 00:23:D4:6A:BF:DE, GARBAGE IP, true
20:27:40, 00:23:D4:6A:BF:DE, GARBAGE IP, true
20:28:28, 00:23:D4:6A:BF:DE, GARBAGE, true
20:29:36, 00:23:D4:6A:BF:DE, GARBAGE, true
20:32:28, 00:23:D4:6A:BF:DE, GARBAGE, true
20:35:21, 00:23:D4:6A:BF:DE, GARBAGE, true
20:38:05, 00:23:D4:6A:BF:DE, 192.168.1.2, true
20:38:05, 00:23:D4:6A:BF:DE, GARBAGE IP, true
20:38:05, 00:23:D4:6A:BF:DE, GARBAGE IP, true
