17:38:14, 00:23:D4:6A:A4:E2, GARBAGE, false
17:43:08, 00:23:D4:6A:A4:E2, GARBAGE, false
17:48:28, 00:23:D4:6A:A4:E2, GARBAGE, false
17:51:12, 00:23:D4:6A:A4:E2, GARBAGE, false
17:55:56, 00:23:D4:6A:A4:E2, GARBAGE, false
18:00:33, 00:23:D4:6A:A4:E2, GARBAGE, false
18:03:53, 00:23:D4:6A:A4:E2, GARBAGE, false
18:08:53, 00:23:D4:6A:A4:E2, 192.168.1.12, false
18:08:53, 00:23:D4:6A:A4:E2, GARBAGE IP, true
18:08:53, 00:23:D4:6A:A4:E2, GARBAGE IP, true
18:08:53, 00:23:D4:6A:A4:E2, GARBAGE IP, true
18:09:35, 00:23:D4:6A:A4:E2, 192.168.1.12, false
18:09:35, 00:23:D4:6A:A4:E2, GARBAGE IP, true
18:09:35, 00:23:D4:6A:A4:E2, GARBAGE IP, true
18:09:35, 00:23:D4:6A:A4:E2, GARBAGE IP, true
18:11:38, 00:23:D4:6A:A4:E2, GARBAGE, false
18:16:15, 00:23:D4:6A:A4:E2, GARBAGE, false
18:19:34, 00:23:D4:6A:A4:E2, GARBAGE, false
18:27:09, 00:23:D4:6A:A4:E2, GARBAGE, false
18:34:51, 00:23:D4:6A:A4:E2, GARBAGE, false
18:39:23, 00:23:D4:6A:A4:E2, GARBAGE, false
18:44:43, 00:23:D4:6A:A4:E2, GARBAGE, false
18:49:16, 00:23:D4:6A:A4:E2, GARBAGE, false
18:49:21, 00:23:D4:6A:A4:E2, GARBAGE, false
18:52:38, 00:23:D4:6A:A4:E2, 192.168.1.9, false
18:52:38, 00:23:D4:6A:A4:E2, GARBAGE IP, true
18:52:38, 00:23:D4:6A:A4:E2, GARBAGE IP, true
18:52:38, 00:23:D4:6A:A4:E2, GARBAGE IP, true
18:52:38, 00:23:D4:6A:A4:E2, GARBAGE IP, true
18:52:38, 00:23:D4:6A:A4:E2, GARBAGE IP, true
18:52:39, 00:23:D4:6A:A4:E2, GARBAGE IP, true
18:58:20, 00:23:D4:6A:A4:E2, GARBAGE, false
19:01:36, 00:23:D4:6A:A4:E2, GARBAGE, false
19:06:11, 00:23:D4:6A:A4:E2, GARBAGE, false
19:09:17, 00:23:D4:6A:A4:E2, GARBAGE, false
19:13:49, 00:23:D4:6A:A4:E2, GARBAGE, false
19:25:15, 00:23:D4:6A:A4:E2, GARBAGE, false
19:28:28, 00:23:D4:6A:A4:E2, GARBAGE, false
19:31:31, 00:23:D4:6A:A4:E2, GARBAGE, false
19:36:07, 00:23:D4:6A:A4:E2, GARBAGE, false
19:38:56, 00:23:D4:6A:A4:E2, GARBAGE, false
19:46:35, 00:23:D4:6A:A4:E2, GARBAGE, false
19:56:23, 00:23:D4:6A:A4:E2, 192.168.1.3, false
19:56:23, 00:23:D4:6A:A4:E2, GARBAGE IP, true
19:56:23, 00:23:D4:6A:A4:E2, GARBAGE IP, true
19:56:23, 00:23:D4:6A:A4:E2, GARBAGE IP, true
19:56:43, 00:23:D4:6A:A4:E2, GARBAGE, true
19:58:06, 00:23:D4:6A:A4:E2, GARBAGE, false
20:06:31, 00:23:D4:6A:A4:E2, GARBAGE, true
20:21:06, 00:23:D4:6A:A4:E2, 192.168.1.4, true
20:21:06, 00:23:D4:6A:A4:E2, GARBAGE IP, true
20:21:06, 00:23:D4:6A:A4:E2, GARBAGE IP, true
20:21:06, 00:23:D4:6A:A4:E2, GARBAGE IP, true
20:34:50, 00:23:D4:6A:A4:E2, 192.168.1.1, true
20:34:50, 00:23:D4:6A:A4:E2, GARBAGE IP, true
20:34:50, 00:23:D4:6A:A4:E2, GARBAGE IP, true
20:36:38, 00:23:D4:6A:A4:E2, GARBAGE, true
20:47:42, 00:23:D4:6A:A4:E2, 192.168.1.1, true
20:47:44, 00:23:D4:6A:A4:E2, 192.168.1.5, false
21:01:18, 00:23:D4:6A:A4:E2, GARBAGE, false
21:05:56, 00:23:D4:6A:A4:E2, GARBAGE, true
21:15:56, 00:23:D4:6A:A4:E2, GARBAGE, true
21:17:15, 00:23:D4:6A:A4:E2, GARBAGE, false
21:31:18, 00:23:D4:6A:A4:E2, GARBAGE, true
21:33:30, 00:23:D4:6A:A4:E2, 192.168.1.11, true
21:33:30, 00:23:D4:6A:A4:E2, GARBAGE IP, true
21:33:31, 00:23:D4:6A:A4:E2, GARBAGE IP, true
21:33:31, 00:23:D4:6A:A4:E2, GARBAGE IP, true
21:33:31, 00:23:D4:6A:A4:E2, GARBAGE IP, true
21:34:13, 00:23:D4:6A:A4:E2, 192.168.1.11, true
21:34:13, 00:23:D4:6A:A4:E2, GARBAGE IP, true
21:34:13, 00:23:D4:6A:A4:E2, GARBAGE IP, true
21:34:13, 00:23:D4:6A:A4:E2, GARBAGE IP, true
21:34:13, 00:23:D4:6A:A4:E2, GARBAGE IP, true
21:34:54, 00:23:D4:6A:A4:E2, 192.168.1.1, true
21:34:54, 00:23:D4:6A:A4:E2, GARBAGE IP, true
21:34:54, 00:23:D4:6A:A4:E2, GARBAGE IP, true
