17:30:31, 00:23:D4:6A:F5:43, GARBAGE, false
17:30:42, 00:23:D4:6A:F5:43, 192.168.1.9, false
17:32:49, 00:23:D4:6A:F5:43, 192.168.1.9, false
17:33:29, 00:23:D4:6A:F5:43, GARBAGE, false
17:33:31, 00:23:D4:6A:F5:43, 192.168.1.9, false
17:34:10, 00:23:D4:6A:F5:43, 192.168.1.11, false
17:34:10, 00:23:D4:6A:F5:43, GARBAGE IP, true
17:34:10, 00:23:D4:6A:F5:43, GARBAGE IP, true
17:34:13, 00:23:D4:6A:F5:43, 192.168.1.9, false
17:34:55, 00:23:D4:6A:F5:43, 192.168.1.2, false
17:36:53, 00:23:D4:6A:F5:43, GARBAGE, false
17:41:46, 00:23:D4:6A:F5:43, GARBAGE, false
17:45:59, 00:23:D4:6A:F5:43, GARBAGE, false
17:50:02, 00:23:D4:6A:F5:43, GARBAGE, false
17:59:12, 00:23:D4:6A:F5:43, GARBAGE, false
18:02:36, 00:23:D4:6A:F5:43, GARBAGE, false
18:10:24, 00:23:D4:6A:F5:43, GARBAGE, false
18:18:17, 00:23:D4:6A:F5:43, GARBAGE, false
18:22:39, 00:23:D4:6A:F5:43, GARBAGE, false
18:25:54, 00:23:D4:6A:F5:43, GARBAGE, false
18:33:34, 00:23:D4:6A:F5:43, GARBAGE, false
18:43:32, 00:23:D4:6A:F5:43, GARBAGE, false
18:47:50, 00:23:D4:6A:F5:43, GARBAGE, false
18:48:10, 00:23:D4:6A:F5:43, GARBAGE, false
18:52:26, 00:23:D4:6A:F5:43, GARBAGE, false
19:00:17, 00:23:D4:6A:F5:43, GARBAGE, false
19:04:46, 00:23:D4:6A:F5:43, GARBAGE, false
19:08:03, 00:23:D4:6A:F5:43, GARBAGE, false
19:21:41, 00:23:D4:6A:F5:43, GARBAGE, false
19:27:10, 00:23:D4:6A:F5:43, GARBAGE, false
19:30:17, 00:23:D4:6A:F5:43, GARBAGE, false
19:34:49, 00:23:D4:6A:F5:43, GARBAGE, false
19:34:52, 00:23:D4:6A:F5:43, GARBAGE, false
19:37:38, 00:23:D4:6A:F5:43, GARBAGE, false
19:45:20, 00:23:D4:6A:F5:43, GARBAGE, false
19:55:25, 00:23:D4:6A:F5:43, GARBAGE, false
19:57:10, 00:23:D4:6A:F5:43, 192.168.1.12, false
19:57:10, 00:23:D4:6A:F5:43, GARBAGE IP, true
19:57:10, 00:23:D4:6A:F5:43, GARBAGE IP, true
19:57:10, 00:23:D4:6A:F5:43, GARBAGE IP, true
19:57:10, 00:23:D4:6A:F5:43, GARBAGE IP, true
20:01:25, 00:23:D4:6A:F5:43, GARBAGE, false
20:05:16, 00:23:D4:6A:F5:43, GARBAGE, false
20:05:19, 00:23:D4:6A:F5:43, GARBAGE, false
20:16:21, 00:23:D4:6A:F5:43, 192.168.1.2, false
20:16:21, 00:23:D4:6A:F5:43, GARBAGE IP, true
20:16:21, 00:23:D4:6A:F5:43, GARBAGE IP, true
20:16:21, 00:23:D4:6A:F5:43, GARBAGE IP, true
20:16:21, 00:23:D4:6A:F5:43, GARBAGE IP, true
20:38:03, 00:23:D4:6A:F5:43, GARBAGE, true
20:52:47, 00:23:D4:6A:F5:43, 192.168.1.5, true
20:53:33, 00:23:D4:6A:F5:43, 192.168.1.12, false
20:53:33, 00:23:D4:6A:F5:43, GARBAGE IP, true
20:53:33, 00:23:D4:6A:F5:43, GARBAGE IP, true
20:53:33, 00:23:D4:6A:F5:43, GARBAGE IP, true
20:53:33, 00:23:D4:6A:F5:43, GARBAGE IP, true
21:00:03, 00:23:D4:6A:F5:43, GARBAGE, true
21:03:00, 00:23:D4:6A:F5:43, 192.168.1.1, true
21:03:00, 00:23:D4:6A:F5:43, GARBAGE IP, true
21:03:00, 00:23:D4:6A:F5:43, GARBAGE IP, true
21:14:22, 00:23:D4:6A:F5:43, 192.168.1.5, true
21:14:22, 00:23:D4:6A:F5:43, GARBAGE IP, true
21:14:22, 00:23:D4:6A:F5:43, GARBAGE IP, true
21:14:37, 00:23:D4:6A:F5:43, GARBAGE, true
21:15:46, 00:23:D4:6A:F5:43, 192.168.1.5, true
21:15:46, 00:23:D4:6A:F5:43, GARBAGE IP, true
21:15:46, 00:23:D4:6A:F5:43, GARBAGE IP, true
21:16:01, 00:23:D4:6A:F5:43, GARBAGE, true
21:25:19, 00:23:D4:6A:F5:43, GARBAGE, true
21:39:53, 00:23:D4:6A:F5:43, GARBAGE, true
21:42:13, 00:23:D4:6A:F5:43, 192.168.1.12, false
21:42:13, 00:23:D4:6A:F5:43, GARBAGE IP, true
21:42:13, 00:23:D4:6A:F5:43, GARBAGE IP, true
21:42:13, 00:23:D4:6A:F5:43, GARBAGE IP, true
21:42:43, 00:23:D4:6A:F5:43, GARBAGE, true
21:45:38, 00:23:D4:6A:F5:43, GARBAGE, true
21:45:48, 00:23:D4:6A:F5:43, GARBAGE, true
21:46:42, 00:23:D4:6A:F5:43, 192.168.1.4, true
21:46:42, 00:23:D4:6A:F5:43, GARBAGE IP, true
21:50:26, 00:23:D4:6A:F5:43, GARBAGE, true
21:52:30, 00:23:D4:6A:F5:43, 192.168.1.9, true
21:52:30, 00:23:D4:6A:F5:43, GARBAGE IP, true
21:52:30, 00:23:D4:6A:F5:43, GARBAGE IP, true
21:52:30, 00:23:D4:6A:F5:43, GARBAGE IP, true
21:52:30, 00:23:D4:6A:F5:43, GARBAGE IP, true
21:58:39, 00:23:D4:6A:F5:43, GARBAGE, true
22:04:05, 00:23:D4:6A:F5:43, GARBAGE, true
22:13:28, 00:23:D4:6A:F5:43, GARBAGE, true
22:35:51, 00:23:D4:6A:F5:43, 192.168.1.12, true
22:35:51, 00:23:D4:6A:F5:43, GARBAGE IP, true
22:35:51, 00:23:D4:6A:F5:43, GARBAGE IP, true
22:35:51, 00:23:D4:6A:F5:43, GARBAGE IP, true
22:35:51, 00:23:D4:6A:F5:43, GARBAGE IP, true
22:40:22, 00:23:D4:6A:F5:43, 192.168.1.9, true
22:40:22, 00:23:D4:6A:F5:43, GARBAGE IP, true
23:12:01, 00:23:D4:6A:F5:43, 192.168.1.4, true
23:12:01, 00:23:D4:6A:F5:43, GARBAGE IP, true
23:30:13, 00:23:D4:6A:F5:43, GARBAGE, true
23:30:25, 00:23:D4:6A:F5:43, GARBAGE, true
23:34:52, 00:23:D4:6A:F5:43, GARBAGE, true
23:44:33, 00:23:D4:6A:F5:43, 192.168.1.5, true
23:44:33, 00:23:D4:6A:F5:43, GARBAGE IP, true
23:44:33, 00:23:D4:6A:F5:43, GARBAGE IP, true
23:44:46, 00:23:D4:6A:F5:43, GARBAGE, true
23:55:51, 00:23:D4:6A:F5:43, 192.168.1.2, true
23:55:51, 00:23:D4:6A:F5:43, GARBAGE IP, true
23:56:00, 00:23:D4:6A:F5:43, GARBAGE, true
00:07:10, 00:23:D4:6A:F5:43, 192.168.1.2, true
00:10:32, 00:23:D4:6A:F5:43, GARBAGE, true
00:13:28, 00:23:D4:6A:F5:43, 192.168.1.6, true
00:13:28, 00:23:D4:6A:F5:43, GARBAGE IP, true
