17:29:22, 00:23:D4:68:E1:E9, GARBAGE, false
17:32:03, 00:23:D4:68:E1:E9, GARBAGE, false
17:32:29, 00:23:D4:68:E1:E9, GARBAGE, false
17:32:43, 00:23:D4:68:E1:E9, GARBAGE, false
17:35:44, 00:23:D4:68:E1:E9, GARBAGE, false
17:53:32, 00:23:D4:68:E1:E9, GARBAGE, false
18:01:26, 00:23:D4:68:E1:E9, GARBAGE, false
18:06:03, 00:23:D4:68:E1:E9, GARBAGE, false
18:13:49, 00:23:D4:68:E1:E9, GARBAGE, false
18:17:07, 00:23:D4:68:E1:E9, GARBAGE, false
18:24:54, 00:23:D4:68:E1:E9, GARBAGE, false
18:32:21, 00:23:D4:68:E1:E9, GARBAGE, false
18:36:58, 00:23:D4:68:E1:E9, GARBAGE, false
18:42:30, 00:23:D4:68:E1:E9, GARBAGE, false
18:47:08, 00:23:D4:68:E1:E9, GARBAGE, false
18:51:13, 00:23:D4:68:E1:E9, GARBAGE, false
18:55:52, 00:23:D4:68:E1:E9, GARBAGE, false
18:59:07, 00:23:D4:68:E1:E9, GARBAGE, false
19:02:04, 00:23:D4:68:E1:E9, 192.168.1.9, false
19:02:04, 00:23:D4:68:E1:E9, GARBAGE IP, true
19:02:04, 00:23:D4:68:E1:E9, GARBAGE IP, true
19:02:04, 00:23:D4:68:E1:E9, GARBAGE IP, true
19:02:04, 00:23:D4:68:E1:E9, GARBAGE IP, true
19:02:04, 00:23:D4:68:E1:E9, GARBAGE IP, true
19:07:05, 00:23:D4:68:E1:E9, GARBAGE, false
19:11:23, 00:23:D4:68:E1:E9, GARBAGE, false
19:15:58, 00:23:D4:68:E1:E9, GARBAGE, false
19:18:57, 00:23:D4:68:E1:E9, 192.168.1.12, true
19:18:57, 00:23:D4:68:E1:E9, GARBAGE IP, true
19:18:57, 00:23:D4:68:E1:E9, GARBAGE IP, true
19:18:57, 00:23:D4:68:E1:E9, GARBAGE IP, true
19:18:57, 00:23:D4:68:E1:E9, GARBAGE IP, true
19:18:58, 00:23:D4:68:E1:E9, 192.168.1.10, true
19:18:58, 00:23:D4:68:E1:E9, GARBAGE IP, true
19:19:39, 00:23:D4:68:E1:E9, 192.168.1.12, true
19:19:39, 00:23:D4:68:E1:E9, GARBAGE IP, true
19:19:39, 00:23:D4:68:E1:E9, GARBAGE IP, true
19:19:39, 00:23:D4:68:E1:E9, GARBAGE IP, true
19:19:39, 00:23:D4:68:E1:E9, GARBAGE IP, true
19:20:21, 00:23:D4:68:E1:E9, 192.168.1.12, true
19:20:21, 00:23:D4:68:E1:E9, GARBAGE IP, true
19:20:21, 00:23:D4:68:E1:E9, GARBAGE IP, true
19:20:21, 00:23:D4:68:E1:E9, GARBAGE IP, true
19:20:21, 00:23:D4:68:E1:E9, GARBAGE IP, true
19:21:56, 00:23:D4:68:E1:E9, 192.168.1.6, true
19:21:56, 00:23:D4:68:E1:E9, GARBAGE IP, true
19:21:56, 00:23:D4:68:E1:E9, GARBAGE IP, true
19:21:56, 00:23:D4:68:E1:E9, GARBAGE IP, true
19:25:57, 00:23:D4:68:E1:E9, GARBAGE, false
19:29:10, 00:23:D4:68:E1:E9, GARBAGE, false
19:33:32, 00:23:D4:68:E1:E9, GARBAGE, false
19:33:45, 00:23:D4:68:E1:E9, GARBAGE, false
19:36:26, 00:23:D4:68:E1:E9, GARBAGE, false
19:44:13, 00:23:D4:68:E1:E9, GARBAGE, false
19:47:54, 00:23:D4:68:E1:E9, 192.168.1.4, false
19:47:55, 00:23:D4:68:E1:E9, GARBAGE IP, true
19:47:55, 00:23:D4:68:E1:E9, GARBAGE IP, true
19:47:55, 00:23:D4:68:E1:E9, GARBAGE IP, true
19:47:55, 00:23:D4:68:E1:E9, GARBAGE IP, true
19:54:12, 00:23:D4:68:E1:E9, GARBAGE, true
20:00:11, 00:23:D4:68:E1:E9, GARBAGE, true
20:04:09, 00:23:D4:68:E1:E9, GARBAGE, false
20:15:23, 00:23:D4:68:E1:E9, GARBAGE, true
20:29:47, 00:23:D4:68:E1:E9, 192.168.1.10, true
20:29:47, 00:23:D4:68:E1:E9, GARBAGE IP, true
20:29:48, 00:23:D4:68:E1:E9, GARBAGE IP, true
20:29:48, 00:23:D4:68:E1:E9, GARBAGE IP, true
20:29:48, 00:23:D4:68:E1:E9, GARBAGE IP, true
20:31:15, 00:23:D4:68:E1:E9, GARBAGE, true
20:45:20, 00:23:D4:68:E1:E9, 192.168.1.2, true
20:45:21, 00:23:D4:68:E1:E9, GARBAGE IP, true
20:45:21, 00:23:D4:68:E1:E9, GARBAGE IP, true
20:45:21, 00:23:D4:68:E1:E9, GARBAGE IP, true
20:45:23, 00:23:D4:68:E1:E9, 192.168.1.9, true
20:45:23, 00:23:D4:68:E1:E9, GARBAGE IP, true
20:45:23, 00:23:D4:68:E1:E9, GARBAGE IP, true
20:45:23, 00:23:D4:68:E1:E9, GARBAGE IP, true
20:45:23, 00:23:D4:68:E1:E9, GARBAGE IP, true
20:45:23, 00:23:D4:68:E1:E9, GARBAGE IP, true
21:03:30, 00:23:D4:68:E1:E9, GARBAGE, true
21:14:50, 00:23:D4:68:E1:E9, GARBAGE, true
21:19:25, 00:23:D4:68:E1:E9, GARBAGE, true
21:21:41, 00:23:D4:68:E1:E9, 192.168.1.12, true
21:21:41, 00:23:D4:68:E1:E9, GARBAGE IP, true
21:28:52, 00:23:D4:68:E1:E9, GARBAGE, true
21:44:29, 00:23:D4:68:E1:E9, 192.168.1.9, true
21:44:29, 00:23:D4:68:E1:E9, GARBAGE IP, true
21:44:29, 00:23:D4:68:E1:E9, GARBAGE IP, true
21:44:29, 00:23:D4:68:E1:E9, GARBAGE IP, true
21:44:29, 00:23:D4:68:E1:E9, GARBAGE IP, true
21:44:49, 00:23:D4:68:E1:E9, GARBAGE, true
21:49:15, 00:23:D4:68:E1:E9, GARBAGE, true
21:53:00, 00:23:D4:68:E1:E9, GARBAGE, true
21:58:02, 00:23:D4:68:E1:E9, 192.168.1.6, true
21:58:02, 00:23:D4:68:E1:E9, GARBAGE IP, true
21:58:02, 00:23:D4:68:E1:E9, GARBAGE IP, true
21:58:02, 00:23:D4:68:E1:E9, GARBAGE IP, true
21:58:43, 00:23:D4:68:E1:E9, 192.168.1.6, true
21:58:43, 00:23:D4:68:E1:E9, GARBAGE IP, true
21:58:43, 00:23:D4:68:E1:E9, GARBAGE IP, true
21:58:43, 00:23:D4:68:E1:E9, GARBAGE IP, true
22:02:06, 00:23:D4:68:E1:E9, GARBAGE, true
22:07:21, 00:23:D4:68:E1:E9, GARBAGE, true
22:23:40, 00:23:D4:68:E1:E9, GARBAGE, true
