23:43:34, 00:23:D4:6A:A4:E2, 192.168.1.2, false
23:43:34, 00:23:D4:6A:A4:E2, 192.168.1.1, false
23:43:34, 00:23:D4:6A:A4:E2, GARBAGE IP, true
23:43:34, 00:23:D4:6A:A4:E2, GARBAGE IP, true
23:43:34, 00:23:D4:6A:A4:E2, GARBAGE IP, true
23:43:34, 00:23:D4:6A:A4:E2, GARBAGE IP, true
23:44:16, 00:23:D4:6A:A4:E2, 192.168.1.1, false
23:44:16, 00:23:D4:6A:A4:E2, GARBAGE IP, true
23:44:16, 00:23:D4:6A:A4:E2, GARBAGE IP, true
23:44:16, 00:23:D4:6A:A4:E2, GARBAGE IP, true
23:44:16, 00:23:D4:6A:A4:E2, GARBAGE IP, true
23:49:53, 00:23:D4:6A:A4:E2, GARBAGE, true
23:54:20, 00:23:D4:6A:A4:E2, GARBAGE, true
23:59:05, 00:23:D4:6A:A4:E2, GARBAGE, true
00:03:49, 00:23:D4:6A:A4:E2, GARBAGE, false
00:09:03, 00:23:D4:6A:A4:E2, 192.168.1.8, false
00:09:03, 00:23:D4:6A:A4:E2, GARBAGE IP, true
00:09:03, 00:23:D4:6A:A4:E2, GARBAGE IP, true
00:11:01, 00:23:D4:6A:A4:E2, GARBAGE, true
00:15:15, 00:23:D4:6A:A4:E2, GARBAGE, false
00:31:29, 00:23:D4:6A:A4:E2, GARBAGE, true
00:36:01, 00:23:D4:6A:A4:E2, GARBAGE, true
00:45:37, 00:23:D4:6A:A4:E2, GARBAGE, true
00:50:21, 00:23:D4:6A:A4:E2, GARBAGE, false
00:54:48, 00:23:D4:6A:A4:E2, GARBAGE, true
00:59:29, 00:23:D4:6A:A4:E2, GARBAGE, true
01:10:38, 00:23:D4:6A:A4:E2, 192.168.1.5, true
01:10:38, 00:23:D4:6A:A4:E2, GARBAGE IP, true
01:10:38, 00:23:D4:6A:A4:E2, GARBAGE IP, true
01:10:38, 00:23:D4:6A:A4:E2, GARBAGE IP, true
01:10:38, 00:23:D4:6A:A4:E2, GARBAGE IP, true
01:10:38, 00:23:D4:6A:A4:E2, GARBAGE IP, true
01:11:45, 00:23:D4:6A:A4:E2, GARBAGE, true
01:14:09, 00:23:D4:6A:A4:E2, GARBAGE, true
01:23:23, 00:23:D4:6A:A4:E2, GARBAGE, true
01:27:58, 00:23:D4:6A:A4:E2, GARBAGE, true
01:30:57, 00:23:D4:6A:A4:E2, 192.168.1.10, false
01:30:57, 00:23:D4:6A:A4:E2, GARBAGE IP, true
01:30:57, 00:23:D4:6A:A4:E2, GARBAGE IP, true
01:31:39, 00:23:D4:6A:A4:E2, 192.168.1.10, false
01:31:39, 00:23:D4:6A:A4:E2, GARBAGE IP, true
01:31:39, 00:23:D4:6A:A4:E2, GARBAGE IP, true
01:39:22, 00:23:D4:6A:A4:E2, GARBAGE, true
01:43:48, 00:23:D4:6A:A4:E2, 192.168.1.9, true
01:43:48, 00:23:D4:6A:A4:E2, GARBAGE IP, true
