17:24:09, 00:23:D4:6A:B9:0F, 192.168.1.4, false
17:24:09, 00:23:D4:6A:B9:0F, GARBAGE IP, true
17:25:32, 00:23:D4:6A:B9:0F, 192.168.1.4, false
17:25:32, 00:23:D4:6A:B9:0F, GARBAGE IP, true
17:31:59, 00:23:D4:6A:B9:0F, GARBAGE, false
17:36:24, 00:23:D4:6A:B9:0F, GARBAGE, false
17:41:03, 00:23:D4:6A:B9:0F, GARBAGE, false
17:47:55, 00:23:D4:6A:B9:0F, GARBAGE, false
17:52:40, 00:23:D4:6A:B9:0F, GARBAGE, false
18:01:48, 00:23:D4:6A:B9:0F, GARBAGE, false
18:04:15, 00:23:D4:6A:B9:0F, GARBAGE, false
18:07:11, 00:23:D4:6A:B9:0F, 192.168.1.6, false
18:07:11, 00:23:D4:6A:B9:0F, GARBAGE IP, true
18:07:11, 00:23:D4:6A:B9:0F, GARBAGE IP, true
18:07:11, 00:23:D4:6A:B9:0F, GARBAGE IP, true
18:07:11, 00:23:D4:6A:B9:0F, GARBAGE IP, true
18:07:11, 00:23:D4:6A:B9:0F, GARBAGE IP, true
18:07:11, 00:23:D4:6A:B9:0F, 192.168.1.2, true
18:07:11, 00:23:D4:6A:B9:0F, GARBAGE IP, true
18:07:11, 00:23:D4:6A:B9:0F, GARBAGE IP, true
18:07:11, 00:23:D4:6A:B9:0F, GARBAGE IP, true
18:07:11, 00:23:D4:6A:B9:0F, GARBAGE IP, true
18:07:11, 00:23:D4:6A:B9:0F, GARBAGE IP, true
18:08:48, 00:23:D4:6A:B9:0F, GARBAGE, true
18:13:25, 00:23:D4:6A:B9:0F, GARBAGE, true
18:27:35, 00:23:D4:6A:B9:0F, GARBAGE, true
18:32:11, 00:23:D4:6A:B9:0F, GARBAGE, true
18:41:31, 00:23:D4:6A:B9:0F, GARBAGE, true
18:43:42, 00:23:D4:6A:B9:0F, GARBAGE, true
18:51:44, 00:23:D4:6A:B9:0F, GARBAGE, true
18:56:18, 00:23:D4:6A:B9:0F, GARBAGE, true
19:01:00, 00:23:D4:6A:B9:0F, GARBAGE, true
19:10:10, 00:23:D4:6A:B9:0F, GARBAGE, true
19:17:01, 00:23:D4:6A:B9:0F, GARBAGE, true
19:19:27, 00:23:D4:6A:B9:0F, GARBAGE, true
19:26:17, 00:23:D4:6A:B9:0F, GARBAGE, true
19:33:09, 00:23:D4:6A:B9:0F, GARBAGE, true
19:35:44, 00:23:D4:6A:B9:0F, GARBAGE, true
19:40:21, 00:23:D4:6A:B9:0F, GARBAGE, true
19:49:34, 00:23:D4:6A:B9:0F, GARBAGE, true
19:51:40, 00:23:D4:6A:B9:0F, GARBAGE, true
19:53:57, 00:23:D4:6A:B9:0F, GARBAGE, true
19:58:39, 00:23:D4:6A:B9:0F, GARBAGE, true
20:07:45, 00:23:D4:6A:B9:0F, GARBAGE, true
20:19:35, 00:23:D4:6A:B9:0F, GARBAGE, true
20:23:12, 00:23:D4:6A:B9:0F, 192.168.1.10, true
20:23:12, 00:23:D4:6A:B9:0F, GARBAGE IP, true
20:23:12, 00:23:D4:6A:B9:0F, GARBAGE IP, true
