07:05:13, 00:23:D4:6A:87:DE, 192.168.1.1, true
07:05:13, 00:23:D4:6A:87:DE, GARBAGE IP, true
07:05:14, 00:23:D4:6A:87:DE, GARBAGE IP, true
07:05:14, 00:23:D4:6A:87:DE, GARBAGE IP, true
07:05:14, 00:23:D4:6A:87:DE, GARBAGE IP, true
07:05:41, 00:23:D4:6A:87:DE, GARBAGE, true
07:06:03, 00:23:D4:6A:87:DE, 192.168.1.2, true
07:06:03, 00:23:D4:6A:87:DE, GARBAGE IP, true
07:06:03, 00:23:D4:6A:87:DE, GARBAGE IP, true
07:06:03, 00:23:D4:6A:87:DE, GARBAGE IP, true
07:06:03, 00:23:D4:6A:87:DE, GARBAGE IP, true
07:08:52, 00:23:D4:6A:87:DE, GARBAGE, true
07:13:57, 00:23:D4:6A:87:DE, GARBAGE, true
07:17:09, 00:23:D4:6A:87:DE, GARBAGE, true
07:22:23, 00:23:D4:6A:87:DE, GARBAGE, true
07:24:30, 00:23:D4:6A:87:DE, 192.168.1.11, true
07:24:30, 00:23:D4:6A:87:DE, GARBAGE IP, true
07:24:30, 00:23:D4:6A:87:DE, GARBAGE IP, true
07:24:30, 00:23:D4:6A:87:DE, GARBAGE IP, true
07:24:30, 00:23:D4:6A:87:DE, GARBAGE IP, true
07:24:30, 00:23:D4:6A:87:DE, GARBAGE IP, true
07:24:30, 00:23:D4:6A:87:DE, GARBAGE IP, true
07:26:07, 00:23:D4:6A:87:DE, 192.168.1.3, true
07:26:08, 00:23:D4:6A:87:DE, GARBAGE IP, true
07:26:08, 00:23:D4:6A:87:DE, GARBAGE IP, true
07:29:47, 00:23:D4:6A:87:DE, GARBAGE, true
07:32:53, 00:23:D4:6A:87:DE, GARBAGE, true
07:35:59, 00:23:D4:6A:87:DE, GARBAGE, true
07:43:51, 00:23:D4:6A:87:DE, GARBAGE, true
07:46:44, 00:23:D4:6A:87:DE, GARBAGE, true
07:52:09, 00:23:D4:6A:87:DE, GARBAGE, true
07:58:00, 00:23:D4:6A:87:DE, GARBAGE, true
08:03:28, 00:23:D4:6A:87:DE, GARBAGE, true
08:06:34, 00:23:D4:6A:87:DE, GARBAGE, true
08:12:19, 00:23:D4:6A:87:DE, GARBAGE, true
08:15:34, 00:23:D4:6A:87:DE, GARBAGE, true
08:17:44, 00:23:D4:6A:87:DE, 192.168.1.8, true
08:17:44, 00:23:D4:6A:87:DE, GARBAGE IP, true
08:17:44, 00:23:D4:6A:87:DE, GARBAGE IP, true
08:17:44, 00:23:D4:6A:87:DE, GARBAGE IP, true
08:17:44, 00:23:D4:6A:87:DE, GARBAGE IP, true
08:17:44, 00:23:D4:6A:87:DE, GARBAGE IP, true
08:18:28, 00:23:D4:6A:87:DE, GARBAGE, true
08:24:11, 00:23:D4:6A:87:DE, GARBAGE, true
08:28:32, 00:23:D4:6A:87:DE, 192.168.1.5, true
08:28:32, 00:23:D4:6A:87:DE, GARBAGE IP, true
08:28:32, 00:23:D4:6A:87:DE, GARBAGE IP, true
08:32:32, 00:23:D4:6A:87:DE, GARBAGE, true
08:35:39, 00:23:D4:6A:87:DE, GARBAGE, true
08:38:37, 00:23:D4:6A:87:DE, GARBAGE, true
08:47:05, 00:23:D4:6A:87:DE, 192.168.1.11, true
08:47:05, 00:23:D4:6A:87:DE, GARBAGE IP, true
08:47:05, 00:23:D4:6A:87:DE, GARBAGE IP, true
08:47:05, 00:23:D4:6A:87:DE, GARBAGE IP, true
08:47:14, 00:23:D4:6A:87:DE, GARBAGE, true
08:59:18, 00:23:D4:6A:87:DE, GARBAGE, true
09:15:39, 00:23:D4:6A:87:DE, GARBAGE, true
09:19:12, 00:23:D4:6A:87:DE, GARBAGE, true
09:22:10, 00:23:D4:6A:87:DE, GARBAGE, true
09:25:26, 00:23:D4:6A:87:DE, GARBAGE, true
09:40:53, 00:23:D4:6A:87:DE, 192.168.1.8, true
09:40:53, 00:23:D4:6A:87:DE, GARBAGE IP, true
09:40:53, 00:23:D4:6A:87:DE, GARBAGE IP, true
09:40:53, 00:23:D4:6A:87:DE, GARBAGE IP, true
09:40:53, 00:23:D4:6A:87:DE, GARBAGE IP, true
09:40:53, 00:23:D4:6A:87:DE, GARBAGE IP, true
09:45:38, 00:23:D4:6A:87:DE, GARBAGE, true
09:48:32, 00:23:D4:6A:87:DE, GARBAGE, true
