06:52:09, 00:23:D4:6A:E5:21, GARBAGE, false
06:52:13, 00:23:D4:6A:E5:21, GARBAGE, false
06:53:55, 00:23:D4:6A:E5:21, GARBAGE, false
06:54:28, 00:23:D4:6A:E5:21, 192.168.1.7, false
06:54:28, 00:23:D4:6A:E5:21, GARBAGE IP, true
06:54:28, 00:23:D4:6A:E5:21, GARBAGE IP, true
06:54:28, 00:23:D4:6A:E5:21, GARBAGE IP, true
06:54:28, 00:23:D4:6A:E5:21, GARBAGE IP, true
06:54:28, 00:23:D4:6A:E5:21, GARBAGE IP, true
06:54:28, 00:23:D4:6A:E5:21, GARBAGE IP, true
06:55:10, 00:23:D4:6A:E5:21, 192.168.1.2, false
06:55:10, 00:23:D4:6A:E5:21, GARBAGE IP, true
06:55:10, 00:23:D4:6A:E5:21, GARBAGE IP, true
06:55:53, 00:23:D4:6A:E5:21, 192.168.1.7, false
06:55:53, 00:23:D4:6A:E5:21, GARBAGE IP, true
06:55:53, 00:23:D4:6A:E5:21, GARBAGE IP, true
06:55:53, 00:23:D4:6A:E5:21, GARBAGE IP, true
06:55:53, 00:23:D4:6A:E5:21, GARBAGE IP, true
06:55:53, 00:23:D4:6A:E5:21, GARBAGE IP, true
06:55:53, 00:23:D4:6A:E5:21, GARBAGE IP, true
06:56:31, 00:23:D4:6A:E5:21, 192.168.1.5, false
06:56:31, 00:23:D4:6A:E5:21, GARBAGE IP, true
06:56:31, 00:23:D4:6A:E5:21, GARBAGE IP, true
06:56:40, 00:23:D4:6A:E5:21, GARBAGE, true
06:57:17, 00:23:D4:6A:E5:21, 192.168.1.5, false
06:57:17, 00:23:D4:6A:E5:21, GARBAGE IP, true
06:57:17, 00:23:D4:6A:E5:21, GARBAGE IP, true
06:57:56, 00:23:D4:6A:E5:21, 192.168.1.11, true
06:57:56, 00:23:D4:6A:E5:21, GARBAGE IP, true
06:57:56, 00:23:D4:6A:E5:21, GARBAGE IP, true
06:57:56, 00:23:D4:6A:E5:21, GARBAGE IP, true
06:59:38, 00:23:D4:6A:E5:21, GARBAGE, true
07:02:42, 00:23:D4:6A:E5:21, GARBAGE, false
07:02:50, 00:23:D4:6A:E5:21, GARBAGE, true
07:05:36, 00:23:D4:6A:E5:21, GARBAGE, true
07:10:17, 00:23:D4:6A:E5:21, 192.168.1.4, true
07:10:17, 00:23:D4:6A:E5:21, GARBAGE IP, true
07:10:59, 00:23:D4:6A:E5:21, 192.168.1.4, true
07:11:00, 00:23:D4:6A:E5:21, GARBAGE IP, true
07:11:04, 00:23:D4:6A:E5:21, GARBAGE, true
07:11:41, 00:23:D4:6A:E5:21, 192.168.1.4, true
07:11:41, 00:23:D4:6A:E5:21, GARBAGE IP, true
07:13:06, 00:23:D4:6A:E5:21, 192.168.1.4, true
07:13:06, 00:23:D4:6A:E5:21, GARBAGE IP, true
07:13:56, 00:23:D4:6A:E5:21, GARBAGE, true
07:16:56, 00:23:D4:6A:E5:21, GARBAGE, true
07:19:39, 00:23:D4:6A:E5:21, GARBAGE, true
07:24:35, 00:23:D4:6A:E5:21, 192.168.1.10, true
07:24:35, 00:23:D4:6A:E5:21, GARBAGE IP, true
07:24:35, 00:23:D4:6A:E5:21, GARBAGE IP, true
07:24:35, 00:23:D4:6A:E5:21, GARBAGE IP, true
07:24:44, 00:23:D4:6A:E5:21, GARBAGE, true
07:26:57, 00:23:D4:6A:E5:21, GARBAGE, true
07:29:50, 00:23:D4:6A:E5:21, GARBAGE, true
07:32:52, 00:23:D4:6A:E5:21, GARBAGE, true
07:38:23, 00:23:D4:6A:E5:21, GARBAGE, true
07:40:50, 00:23:D4:6A:E5:21, GARBAGE, true
07:40:55, 00:23:D4:6A:E5:21, 192.168.1.3, false
07:40:55, 00:23:D4:6A:E5:21, GARBAGE IP, true
07:40:55, 00:23:D4:6A:E5:21, GARBAGE IP, true
07:43:54, 00:23:D4:6A:E5:21, GARBAGE, true
07:46:47, 00:23:D4:6A:E5:21, GARBAGE, true
07:52:12, 00:23:D4:6A:E5:21, GARBAGE, true
07:54:55, 00:23:D4:6A:E5:21, GARBAGE, true
08:00:15, 00:23:D4:6A:E5:21, 192.168.1.3, false
08:00:15, 00:23:D4:6A:E5:21, GARBAGE IP, true
08:00:15, 00:23:D4:6A:E5:21, GARBAGE IP, true
08:00:32, 00:23:D4:6A:E5:21, GARBAGE, true
08:03:33, 00:23:D4:6A:E5:21, GARBAGE, true
08:09:32, 00:23:D4:6A:E5:21, GARBAGE, true
08:12:21, 00:23:D4:6A:E5:21, GARBAGE, true
08:15:36, 00:23:D4:6A:E5:21, GARBAGE, true
08:18:27, 00:23:D4:6A:E5:21, GARBAGE, true
08:21:12, 00:23:D4:6A:E5:21, GARBAGE, true
08:26:54, 00:23:D4:6A:E5:21, GARBAGE, true
08:27:52, 00:23:D4:6A:E5:21, 192.168.1.10, true
08:27:52, 00:23:D4:6A:E5:21, GARBAGE IP, true
08:27:52, 00:23:D4:6A:E5:21, GARBAGE IP, true
08:27:52, 00:23:D4:6A:E5:21, GARBAGE IP, true
08:28:33, 00:23:D4:6A:E5:21, 192.168.1.5, false
08:28:33, 00:23:D4:6A:E5:21, GARBAGE IP, true
08:28:33, 00:23:D4:6A:E5:21, GARBAGE IP, true
08:29:24, 00:23:D4:6A:E5:21, GARBAGE, true
08:32:37, 00:23:D4:6A:E5:21, GARBAGE, true
08:38:39, 00:23:D4:6A:E5:21, GARBAGE, true
08:41:28, 00:23:D4:6A:E5:21, GARBAGE, true
08:46:29, 00:23:D4:6A:E5:21, 192.168.1.10, true
08:46:29, 00:23:D4:6A:E5:21, GARBAGE IP, true
08:46:29, 00:23:D4:6A:E5:21, GARBAGE IP, true
08:46:29, 00:23:D4:6A:E5:21, GARBAGE IP, true
08:47:11, 00:23:D4:6A:E5:21, 192.168.1.10, true
08:47:11, 00:23:D4:6A:E5:21, GARBAGE IP, true
