06:57:48, 00:23:D4:69:79:1C, GARBAGE, true
06:58:09, 00:23:D4:69:79:1C, GARBAGE, true
07:03:57, 00:23:D4:69:79:1C, GARBAGE, true
07:06:06, 00:23:D4:69:79:1C, 192.168.1.7, true
07:06:06, 00:23:D4:69:79:1C, GARBAGE IP, true
07:06:06, 00:23:D4:69:79:1C, GARBAGE IP, true
07:06:06, 00:23:D4:69:79:1C, GARBAGE IP, true
07:06:06, 00:23:D4:69:79:1C, GARBAGE IP, true
07:06:06, 00:23:D4:69:79:1C, GARBAGE IP, true
07:06:41, 00:23:D4:69:79:1C, GARBAGE, true
07:06:49, 00:23:D4:69:79:1C, 192.168.1.7, true
07:06:49, 00:23:D4:69:79:1C, GARBAGE IP, true
07:06:49, 00:23:D4:69:79:1C, GARBAGE IP, true
07:06:49, 00:23:D4:69:79:1C, GARBAGE IP, true
07:06:49, 00:23:D4:69:79:1C, GARBAGE IP, true
07:06:49, 00:23:D4:69:79:1C, GARBAGE IP, true
07:09:49, 00:23:D4:69:79:1C, GARBAGE, true
07:12:15, 00:23:D4:69:79:1C, GARBAGE, true
07:23:26, 00:23:D4:69:79:1C, GARBAGE, true
07:28:09, 00:23:D4:69:79:1C, GARBAGE, true
07:28:51, 00:23:D4:69:79:1C, 192.168.1.10, true
07:28:51, 00:23:D4:69:79:1C, GARBAGE IP, true
07:28:51, 00:23:D4:69:79:1C, GARBAGE IP, true
07:28:51, 00:23:D4:69:79:1C, GARBAGE IP, true
07:31:04, 00:23:D4:69:79:1C, GARBAGE, true
07:34:08, 00:23:D4:69:79:1C, GARBAGE, true
07:37:01, 00:23:D4:69:79:1C, GARBAGE, true
07:41:57, 00:23:D4:69:79:1C, GARBAGE, true
07:43:21, 00:23:D4:69:79:1C, 192.168.1.3, true
07:43:21, 00:23:D4:69:79:1C, GARBAGE IP, true
07:43:21, 00:23:D4:69:79:1C, GARBAGE IP, true
07:47:55, 00:23:D4:69:79:1C, GARBAGE, true
07:53:19, 00:23:D4:69:79:1C, GARBAGE, true
07:56:03, 00:23:D4:69:79:1C, GARBAGE, true
07:59:04, 00:23:D4:69:79:1C, GARBAGE, true
08:04:38, 00:23:D4:69:79:1C, GARBAGE, true
08:07:42, 00:23:D4:69:79:1C, GARBAGE, true
08:13:29, 00:23:D4:69:79:1C, GARBAGE, true
08:16:50, 00:23:D4:69:79:1C, GARBAGE, true
08:19:39, 00:23:D4:69:79:1C, GARBAGE, true
08:25:18, 00:23:D4:69:79:1C, GARBAGE, true
08:30:30, 00:23:D4:69:79:1C, GARBAGE, true
08:31:06, 00:23:D4:69:79:1C, 192.168.1.1, true
08:31:06, 00:23:D4:69:79:1C, GARBAGE IP, true
08:31:06, 00:23:D4:69:79:1C, GARBAGE IP, true
08:31:06, 00:23:D4:69:79:1C, GARBAGE IP, true
08:31:06, 00:23:D4:69:79:1C, GARBAGE IP, true
08:31:51, 00:23:D4:69:79:1C, 192.168.1.5, true
08:31:51, 00:23:D4:69:79:1C, GARBAGE IP, true
08:31:51, 00:23:D4:69:79:1C, GARBAGE IP, true
08:33:46, 00:23:D4:69:79:1C, GARBAGE, true
08:36:46, 00:23:D4:69:79:1C, GARBAGE, true
08:39:49, 00:23:D4:69:79:1C, GARBAGE, true
08:45:16, 00:23:D4:69:79:1C, GARBAGE, true
08:48:29, 00:23:D4:69:79:1C, GARBAGE, true
08:57:24, 00:23:D4:69:79:1C, GARBAGE, true
09:00:29, 00:23:D4:69:79:1C, GARBAGE, true
09:05:56, 00:23:D4:69:79:1C, GARBAGE, true
09:09:11, 00:23:D4:69:79:1C, GARBAGE, true
09:11:44, 00:23:D4:69:79:1C, GARBAGE, true
09:16:44, 00:23:D4:69:79:1C, GARBAGE, true
09:20:15, 00:23:D4:69:79:1C, GARBAGE, true
09:23:20, 00:23:D4:69:79:1C, GARBAGE, true
09:26:23, 00:23:D4:69:79:1C, GARBAGE, true
09:30:40, 00:23:D4:69:79:1C, GARBAGE, true
