00:36:23, 00:23:D4:6A:B9:0F, GARBAGE, true
00:36:26, 00:23:D4:6A:B9:0F, GARBAGE, true
00:36:37, 00:23:D4:6A:B9:0F, GARBAGE, false
00:37:03, 00:23:D4:6A:B9:0F, GARBAGE, true
00:38:29, 00:23:D4:6A:B9:0F, 192.168.1.9, true
00:38:29, 00:23:D4:6A:B9:0F, GARBAGE IP, true
00:38:29, 00:23:D4:6A:B9:0F, GARBAGE IP, true
00:38:29, 00:23:D4:6A:B9:0F, GARBAGE IP, true
00:38:30, 00:23:D4:6A:B9:0F, GARBAGE IP, true
00:38:30, 00:23:D4:6A:B9:0F, GARBAGE IP, true
00:38:30, 00:23:D4:6A:B9:0F, GARBAGE IP, true
00:38:31, 00:23:D4:6A:B9:0F, 192.168.1.5, true
00:38:31, 00:23:D4:6A:B9:0F, GARBAGE IP, true
00:38:31, 00:23:D4:6A:B9:0F, GARBAGE IP, true
00:40:53, 00:23:D4:6A:B9:0F, GARBAGE, true
00:41:06, 00:23:D4:6A:B9:0F, GARBAGE, true
00:44:06, 00:23:D4:6A:B9:0F, GARBAGE, true
00:46:52, 00:23:D4:6A:B9:0F, GARBAGE, true
00:47:03, 00:23:D4:6A:B9:0F, GARBAGE, true
00:49:48, 00:23:D4:6A:B9:0F, GARBAGE, true
00:52:54, 00:23:D4:6A:B9:0F, GARBAGE, true
00:55:16, 00:23:D4:6A:B9:0F, GARBAGE, true
00:58:09, 00:23:D4:6A:B9:0F, GARBAGE, true
01:02:46, 00:23:D4:6A:B9:0F, 192.168.1.6, true
01:02:46, 00:23:D4:6A:B9:0F, GARBAGE IP, true
01:02:46, 00:23:D4:6A:B9:0F, GARBAGE IP, true
01:02:46, 00:23:D4:6A:B9:0F, GARBAGE IP, true
01:02:46, 00:23:D4:6A:B9:0F, GARBAGE IP, true
01:02:46, 00:23:D4:6A:B9:0F, GARBAGE IP, true
01:03:49, 00:23:D4:6A:B9:0F, GARBAGE, true
01:04:07, 00:23:D4:6A:B9:0F, 192.168.1.12, true
01:04:08, 00:23:D4:6A:B9:0F, GARBAGE IP, true
01:04:08, 00:23:D4:6A:B9:0F, GARBAGE IP, true
01:04:08, 00:23:D4:6A:B9:0F, GARBAGE IP, true
01:04:08, 00:23:D4:6A:B9:0F, GARBAGE IP, true
01:04:08, 00:23:D4:6A:B9:0F, GARBAGE IP, true
01:05:17, 00:23:D4:6A:B9:0F, GARBAGE, true
01:06:14, 00:23:D4:6A:B9:0F, 192.168.1.5, true
01:06:14, 00:23:D4:6A:B9:0F, GARBAGE IP, true
01:06:32, 00:23:D4:6A:B9:0F, GARBAGE, true
01:08:57, 00:23:D4:6A:B9:0F, GARBAGE, true
01:11:07, 00:23:D4:6A:B9:0F, GARBAGE, true
01:14:04, 00:23:D4:6A:B9:0F, GARBAGE, true
01:20:02, 00:23:D4:6A:B9:0F, 192.168.1.4, true
01:20:02, 00:23:D4:6A:B9:0F, GARBAGE IP, true
01:20:02, 00:23:D4:6A:B9:0F, GARBAGE IP, true
01:20:07, 00:23:D4:6A:B9:0F, GARBAGE, true
01:22:35, 00:23:D4:6A:B9:0F, GARBAGE, true
01:25:04, 00:23:D4:6A:B9:0F, GARBAGE, true
01:30:23, 00:23:D4:6A:B9:0F, 192.168.1.2, true
01:30:23, 00:23:D4:6A:B9:0F, GARBAGE IP, true
01:30:24, 00:23:D4:6A:B9:0F, GARBAGE IP, true
01:30:24, 00:23:D4:6A:B9:0F, GARBAGE IP, true
01:31:00, 00:23:D4:6A:B9:0F, GARBAGE, true
01:33:42, 00:23:D4:6A:B9:0F, GARBAGE, true
01:39:09, 00:23:D4:6A:B9:0F, GARBAGE, true
01:42:10, 00:23:D4:6A:B9:0F, GARBAGE, true
01:44:42, 00:23:D4:6A:B9:0F, GARBAGE, true
01:47:46, 00:23:D4:6A:B9:0F, GARBAGE, true
01:50:50, 00:23:D4:6A:B9:0F, GARBAGE, true
01:53:40, 00:23:D4:6A:B9:0F, GARBAGE, true
01:58:58, 00:23:D4:6A:B9:0F, 192.168.1.10, true
01:58:58, 00:23:D4:6A:B9:0F, GARBAGE IP, true
01:58:58, 00:23:D4:6A:B9:0F, GARBAGE IP, true
01:58:58, 00:23:D4:6A:B9:0F, GARBAGE IP, true
01:59:46, 00:23:D4:6A:B9:0F, GARBAGE, true
02:05:23, 00:23:D4:6A:B9:0F, GARBAGE, true
02:07:47, 00:23:D4:6A:B9:0F, 192.168.1.5, true
02:07:47, 00:23:D4:6A:B9:0F, GARBAGE IP, true
02:07:47, 00:23:D4:6A:B9:0F, GARBAGE IP, true
02:08:23, 00:23:D4:6A:B9:0F, GARBAGE, true
02:11:07, 00:23:D4:6A:B9:0F, GARBAGE, true
02:13:37, 00:23:D4:6A:B9:0F, GARBAGE, true
02:16:48, 00:23:D4:6A:B9:0F, GARBAGE, true
02:19:51, 00:23:D4:6A:B9:0F, GARBAGE, true
02:25:36, 00:23:D4:6A:B9:0F, GARBAGE, true
02:28:22, 00:23:D4:6A:B9:0F, GARBAGE, true
02:31:24, 00:23:D4:6A:B9:0F, GARBAGE, true
02:32:31, 00:23:D4:6A:B9:0F, GARBAGE, true
02:40:34, 00:23:D4:6A:B9:0F, GARBAGE, true
02:46:12, 00:23:D4:6A:B9:0F, GARBAGE, true
02:49:06, 00:23:D4:6A:B9:0F, GARBAGE, true
02:53:16, 00:23:D4:6A:B9:0F, GARBAGE, true
02:54:54, 00:23:D4:6A:B9:0F, GARBAGE, true
02:57:22, 00:23:D4:6A:B9:0F, GARBAGE, true
03:00:03, 00:23:D4:6A:B9:0F, GARBAGE, true
03:00:16, 00:23:D4:6A:B9:0F, GARBAGE, true
03:03:35, 00:23:D4:6A:B9:0F, GARBAGE, true
03:09:33, 00:23:D4:6A:B9:0F, GARBAGE, true
03:12:10, 00:23:D4:6A:B9:0F, GARBAGE, true
03:13:55, 00:23:D4:6A:B9:0F, GARBAGE, true
03:19:21, 00:23:D4:6A:B9:0F, GARBAGE, true
03:24:12, 00:23:D4:6A:B9:0F, GARBAGE, true
03:26:59, 00:23:D4:6A:B9:0F, GARBAGE, true
03:29:48, 00:23:D4:6A:B9:0F, GARBAGE, true
03:35:07, 00:23:D4:6A:B9:0F, 192.168.1.5, true
03:35:07, 00:23:D4:6A:B9:0F, GARBAGE IP, true
03:35:07, 00:23:D4:6A:B9:0F, GARBAGE IP, true
03:35:51, 00:23:D4:6A:B9:0F, 192.168.1.5, true
03:35:51, 00:23:D4:6A:B9:0F, GARBAGE IP, true
03:35:51, 00:23:D4:6A:B9:0F, GARBAGE IP, true
03:37:14, 00:23:D4:6A:B9:0F, 192.168.1.3, true
03:37:14, 00:23:D4:6A:B9:0F, GARBAGE IP, true
03:37:17, 00:23:D4:6A:B9:0F, GARBAGE, true
03:40:00, 00:23:D4:6A:B9:0F, GARBAGE, true
03:42:29, 00:23:D4:6A:B9:0F, GARBAGE, true
03:49:32, 00:23:D4:6A:B9:0F, GARBAGE, true
03:49:39, 00:23:D4:6A:B9:0F, GARBAGE, true
03:54:53, 00:23:D4:6A:B9:0F, GARBAGE, true
03:58:10, 00:23:D4:6A:B9:0F, GARBAGE, true
04:05:49, 00:23:D4:6A:B9:0F, GARBAGE, true
04:14:07, 00:23:D4:6A:B9:0F, GARBAGE, true
04:24:19, 00:23:D4:6A:B9:0F, GARBAGE, true
04:28:09, 00:23:D4:6A:B9:0F, GARBAGE, true
04:31:33, 00:23:D4:6A:B9:0F, GARBAGE, true
04:32:45, 00:23:D4:6A:B9:0F, 192.168.1.1, true
04:32:45, 00:23:D4:6A:B9:0F, GARBAGE IP, true
04:32:45, 00:23:D4:6A:B9:0F, GARBAGE IP, true
04:32:45, 00:23:D4:6A:B9:0F, GARBAGE IP, true
04:32:45, 00:23:D4:6A:B9:0F, GARBAGE IP, true
04:33:27, 00:23:D4:6A:B9:0F, 192.168.1.1, true
04:33:27, 00:23:D4:6A:B9:0F, GARBAGE IP, true
04:33:27, 00:23:D4:6A:B9:0F, GARBAGE IP, true
04:33:27, 00:23:D4:6A:B9:0F, GARBAGE IP, true
04:33:27, 00:23:D4:6A:B9:0F, GARBAGE IP, true
04:33:52, 00:23:D4:6A:B9:0F, GARBAGE, true
04:43:33, 00:23:D4:6A:B9:0F, GARBAGE, true
04:43:54, 00:23:D4:6A:B9:0F, GARBAGE, true
04:46:27, 00:23:D4:6A:B9:0F, GARBAGE, true
04:56:06, 00:23:D4:6A:B9:0F, GARBAGE, true
04:56:29, 00:23:D4:6A:B9:0F, GARBAGE, true
04:57:51, 00:23:D4:6A:B9:0F, GARBAGE, true
04:58:59, 00:23:D4:6A:B9:0F, GARBAGE, true
05:00:13, 00:23:D4:6A:B9:0F, 192.168.1.12, true
05:00:13, 00:23:D4:6A:B9:0F, GARBAGE IP, true
05:00:13, 00:23:D4:6A:B9:0F, GARBAGE IP, true
05:00:13, 00:23:D4:6A:B9:0F, GARBAGE IP, true
05:00:13, 00:23:D4:6A:B9:0F, GARBAGE IP, true
05:03:01, 00:23:D4:6A:B9:0F, GARBAGE, true
05:03:16, 00:23:D4:6A:B9:0F, GARBAGE, true
05:14:20, 00:23:D4:6A:B9:0F, GARBAGE, true
05:17:44, 00:23:D4:6A:B9:0F, GARBAGE, true
05:22:29, 00:23:D4:6A:B9:0F, 192.168.1.5, true
05:22:29, 00:23:D4:6A:B9:0F, GARBAGE IP, true
05:23:14, 00:23:D4:6A:B9:0F, 192.168.1.5, true
05:23:14, 00:23:D4:6A:B9:0F, GARBAGE IP, true
05:23:56, 00:23:D4:6A:B9:0F, 192.168.1.1, true
05:23:56, 00:23:D4:6A:B9:0F, GARBAGE IP, true
05:23:56, 00:23:D4:6A:B9:0F, GARBAGE IP, true
05:23:56, 00:23:D4:6A:B9:0F, GARBAGE IP, true
05:25:15, 00:23:D4:6A:B9:0F, GARBAGE, true
05:27:55, 00:23:D4:6A:B9:0F, GARBAGE, true
05:31:00, 00:23:D4:6A:B9:0F, GARBAGE, true
05:34:01, 00:23:D4:6A:B9:0F, GARBAGE, true
05:41:28, 00:23:D4:6A:B9:0F, GARBAGE, true
05:42:08, 00:23:D4:6A:B9:0F, 192.168.1.5, true
05:42:08, 00:23:D4:6A:B9:0F, GARBAGE IP, true
05:42:08, 00:23:D4:6A:B9:0F, GARBAGE IP, true
05:44:17, 00:23:D4:6A:B9:0F, GARBAGE, true
05:47:10, 00:23:D4:6A:B9:0F, GARBAGE, true
05:50:19, 00:23:D4:6A:B9:0F, GARBAGE, true
05:55:48, 00:23:D4:6A:B9:0F, GARBAGE, true
05:58:55, 00:23:D4:6A:B9:0F, GARBAGE, true
06:01:35, 00:23:D4:6A:B9:0F, GARBAGE, true
06:05:56, 00:23:D4:6A:B9:0F, GARBAGE, true
06:12:18, 00:23:D4:6A:B9:0F, GARBAGE, true
06:15:21, 00:23:D4:6A:B9:0F, GARBAGE, true
06:17:52, 00:23:D4:6A:B9:0F, GARBAGE, true
06:22:21, 00:23:D4:6A:B9:0F, GARBAGE, true
06:25:30, 00:23:D4:6A:B9:0F, GARBAGE, true
06:28:45, 00:23:D4:6A:B9:0F, GARBAGE, true
06:34:44, 00:23:D4:6A:B9:0F, GARBAGE, true
06:39:13, 00:23:D4:6A:B9:0F, GARBAGE, true
06:41:56, 00:23:D4:6A:B9:0F, GARBAGE, true
06:44:57, 00:23:D4:6A:B9:0F, GARBAGE, true
06:51:02, 00:23:D4:6A:B9:0F, GARBAGE, true
06:53:40, 00:23:D4:6A:B9:0F, GARBAGE, true
06:58:01, 00:23:D4:6A:B9:0F, GARBAGE, true
07:01:14, 00:23:D4:6A:B9:0F, GARBAGE, true
07:04:13, 00:23:D4:6A:B9:0F, GARBAGE, true
07:09:53, 00:23:D4:6A:B9:0F, GARBAGE, true
07:14:21, 00:23:D4:6A:B9:0F, GARBAGE, true
07:17:30, 00:23:D4:6A:B9:0F, GARBAGE, true
07:20:43, 00:23:D4:6A:B9:0F, GARBAGE, true
07:23:13, 00:23:D4:6A:B9:0F, GARBAGE, true
07:24:35, 00:23:D4:6A:B9:0F, GARBAGE, true
07:29:04, 00:23:D4:6A:B9:0F, GARBAGE, true
07:32:16, 00:23:D4:6A:B9:0F, GARBAGE, true
