06:58:30, 00:23:D4:6A:22:09, GARBAGE, false
06:58:46, 00:23:D4:6A:22:09, GARBAGE, false
07:00:10, 00:23:D4:6A:22:09, 192.168.1.7, false
07:00:10, 00:23:D4:6A:22:09, GARBAGE IP, true
07:00:10, 00:23:D4:6A:22:09, GARBAGE IP, true
07:00:10, 00:23:D4:6A:22:09, GARBAGE IP, true
07:00:10, 00:23:D4:6A:22:09, GARBAGE IP, true
07:00:10, 00:23:D4:6A:22:09, GARBAGE IP, true
07:00:10, 00:23:D4:6A:22:09, GARBAGE IP, true
07:00:18, 00:23:D4:6A:22:09, GARBAGE, true
07:01:35, 00:23:D4:6A:22:09, 192.168.1.2, false
07:01:35, 00:23:D4:6A:22:09, GARBAGE IP, true
07:01:35, 00:23:D4:6A:22:09, GARBAGE IP, true
07:01:36, 00:23:D4:6A:22:09, 192.168.1.11, true
07:01:36, 00:23:D4:6A:22:09, GARBAGE IP, true
07:01:37, 00:23:D4:6A:22:09, GARBAGE IP, true
07:01:37, 00:23:D4:6A:22:09, GARBAGE IP, true
07:01:37, 00:23:D4:6A:22:09, GARBAGE IP, true
07:02:56, 00:23:D4:6A:22:09, 192.168.1.5, false
07:02:56, 00:23:D4:6A:22:09, GARBAGE IP, true
07:02:56, 00:23:D4:6A:22:09, GARBAGE IP, true
07:03:00, 00:23:D4:6A:22:09, 192.168.1.11, true
07:03:00, 00:23:D4:6A:22:09, GARBAGE IP, true
07:03:00, 00:23:D4:6A:22:09, GARBAGE IP, true
07:03:00, 00:23:D4:6A:22:09, GARBAGE IP, true
07:03:00, 00:23:D4:6A:22:09, GARBAGE IP, true
07:03:01, 00:23:D4:6A:22:09, 192.168.1.7, true
07:03:01, 00:23:D4:6A:22:09, GARBAGE IP, true
07:03:01, 00:23:D4:6A:22:09, GARBAGE IP, true
07:03:01, 00:23:D4:6A:22:09, GARBAGE IP, true
07:03:01, 00:23:D4:6A:22:09, GARBAGE IP, true
07:03:01, 00:23:D4:6A:22:09, GARBAGE IP, true
07:03:01, 00:23:D4:6A:22:09, GARBAGE IP, true
07:03:07, 00:23:D4:6A:22:09, GARBAGE, true
07:06:01, 00:23:D4:6A:22:09, GARBAGE, true
07:08:59, 00:23:D4:6A:22:09, GARBAGE, true
07:09:05, 00:23:D4:6A:22:09, GARBAGE, true
07:14:16, 00:23:D4:6A:22:09, 192.168.1.7, true
07:14:16, 00:23:D4:6A:22:09, GARBAGE IP, true
07:14:16, 00:23:D4:6A:22:09, GARBAGE IP, true
07:14:16, 00:23:D4:6A:22:09, GARBAGE IP, true
07:14:16, 00:23:D4:6A:22:09, GARBAGE IP, true
07:14:16, 00:23:D4:6A:22:09, GARBAGE IP, true
07:15:29, 00:23:D4:6A:22:09, GARBAGE, true
07:17:34, 00:23:D4:6A:22:09, GARBAGE, true
07:23:26, 00:23:D4:6A:22:09, GARBAGE, true
07:26:02, 00:23:D4:6A:22:09, GARBAGE, true
07:27:12, 00:23:D4:6A:22:09, GARBAGE, true
07:29:01, 00:23:D4:6A:22:09, GARBAGE, true
07:30:58, 00:23:D4:6A:22:09, GARBAGE, true
07:33:27, 00:23:D4:6A:22:09, GARBAGE, true
07:37:52, 00:23:D4:6A:22:09, 192.168.1.6, true
07:37:52, 00:23:D4:6A:22:09, GARBAGE IP, true
07:37:52, 00:23:D4:6A:22:09, GARBAGE IP, true
07:37:52, 00:23:D4:6A:22:09, GARBAGE IP, true
07:37:52, 00:23:D4:6A:22:09, GARBAGE IP, true
07:38:34, 00:23:D4:6A:22:09, 192.168.1.6, true
07:38:34, 00:23:D4:6A:22:09, GARBAGE IP, true
07:38:34, 00:23:D4:6A:22:09, GARBAGE IP, true
07:38:34, 00:23:D4:6A:22:09, GARBAGE IP, true
07:38:34, 00:23:D4:6A:22:09, GARBAGE IP, true
07:39:16, 00:23:D4:6A:22:09, 192.168.1.6, true
07:39:16, 00:23:D4:6A:22:09, GARBAGE IP, true
07:39:16, 00:23:D4:6A:22:09, GARBAGE IP, true
07:39:16, 00:23:D4:6A:22:09, GARBAGE IP, true
07:39:16, 00:23:D4:6A:22:09, GARBAGE IP, true
07:39:22, 00:23:D4:6A:22:09, GARBAGE, true
07:39:58, 00:23:D4:6A:22:09, 192.168.1.6, true
07:39:58, 00:23:D4:6A:22:09, GARBAGE IP, true
07:39:58, 00:23:D4:6A:22:09, GARBAGE IP, true
07:39:58, 00:23:D4:6A:22:09, GARBAGE IP, true
07:39:58, 00:23:D4:6A:22:09, GARBAGE IP, true
07:40:40, 00:23:D4:6A:22:09, 192.168.1.6, true
07:40:40, 00:23:D4:6A:22:09, GARBAGE IP, true
07:40:40, 00:23:D4:6A:22:09, GARBAGE IP, true
07:40:40, 00:23:D4:6A:22:09, GARBAGE IP, true
07:40:40, 00:23:D4:6A:22:09, GARBAGE IP, true
07:41:21, 00:23:D4:6A:22:09, 192.168.1.2, true
07:41:21, 00:23:D4:6A:22:09, GARBAGE IP, true
07:41:21, 00:23:D4:6A:22:09, GARBAGE IP, true
07:41:21, 00:23:D4:6A:22:09, GARBAGE IP, true
07:41:21, 00:23:D4:6A:22:09, GARBAGE IP, true
07:42:36, 00:23:D4:6A:22:09, GARBAGE, true
07:44:38, 00:23:D4:6A:22:09, GARBAGE, true
07:47:16, 00:23:D4:6A:22:09, GARBAGE, true
07:50:20, 00:23:D4:6A:22:09, GARBAGE, true
07:55:56, 00:23:D4:6A:22:09, GARBAGE, true
07:58:38, 00:23:D4:6A:22:09, GARBAGE, true
08:01:23, 00:23:D4:6A:22:09, GARBAGE, true
08:06:48, 00:23:D4:6A:22:09, GARBAGE, true
08:11:31, 00:23:D4:6A:22:09, 192.168.1.12, true
08:11:31, 00:23:D4:6A:22:09, GARBAGE IP, true
08:11:31, 00:23:D4:6A:22:09, GARBAGE IP, true
08:11:31, 00:23:D4:6A:22:09, GARBAGE IP, true
08:11:31, 00:23:D4:6A:22:09, GARBAGE IP, true
08:12:55, 00:23:D4:6A:22:09, 192.168.1.12, true
08:12:55, 00:23:D4:6A:22:09, GARBAGE IP, true
08:12:55, 00:23:D4:6A:22:09, GARBAGE IP, true
08:12:55, 00:23:D4:6A:22:09, GARBAGE IP, true
08:12:55, 00:23:D4:6A:22:09, GARBAGE IP, true
08:13:12, 00:23:D4:6A:22:09, GARBAGE, true
08:13:37, 00:23:D4:6A:22:09, 192.168.1.12, true
08:13:37, 00:23:D4:6A:22:09, GARBAGE IP, true
08:13:37, 00:23:D4:6A:22:09, GARBAGE IP, true
08:13:37, 00:23:D4:6A:22:09, GARBAGE IP, true
08:13:37, 00:23:D4:6A:22:09, GARBAGE IP, true
08:14:19, 00:23:D4:6A:22:09, 192.168.1.12, true
08:14:19, 00:23:D4:6A:22:09, GARBAGE IP, true
08:14:19, 00:23:D4:6A:22:09, GARBAGE IP, true
08:14:19, 00:23:D4:6A:22:09, GARBAGE IP, true
08:14:19, 00:23:D4:6A:22:09, GARBAGE IP, true
08:15:52, 00:23:D4:6A:22:09, GARBAGE, true
08:18:48, 00:23:D4:6A:22:09, GARBAGE, true
08:23:29, 00:23:D4:6A:22:09, 192.168.1.10, true
08:23:29, 00:23:D4:6A:22:09, GARBAGE IP, true
08:23:29, 00:23:D4:6A:22:09, GARBAGE IP, true
08:23:29, 00:23:D4:6A:22:09, GARBAGE IP, true
08:24:10, 00:23:D4:6A:22:09, 192.168.1.3, true
