06:54:16, 00:23:D4:6A:D1:B8, 192.168.1.1, true
06:54:16, 00:23:D4:6A:D1:B8, GARBAGE IP, true
06:55:20, 00:23:D4:6A:D1:B8, GARBAGE, true
06:56:21, 00:23:D4:6A:D1:B8, GARBAGE, true
06:57:17, 00:23:D4:6A:D1:B8, GARBAGE, true
06:57:39, 00:23:D4:6A:D1:B8, 192.168.1.5, true
06:57:39, 00:23:D4:6A:D1:B8, GARBAGE IP, true
06:57:39, 00:23:D4:6A:D1:B8, GARBAGE IP, true
06:58:24, 00:23:D4:6A:D1:B8, 192.168.1.5, true
06:58:24, 00:23:D4:6A:D1:B8, GARBAGE IP, true
06:58:24, 00:23:D4:6A:D1:B8, GARBAGE IP, true
07:00:19, 00:23:D4:6A:D1:B8, GARBAGE, true
07:03:03, 00:23:D4:6A:D1:B8, GARBAGE, true
07:04:56, 00:23:D4:6A:D1:B8, 192.168.1.2, true
07:04:56, 00:23:D4:6A:D1:B8, GARBAGE IP, true
07:05:38, 00:23:D4:6A:D1:B8, 192.168.1.2, true
07:05:38, 00:23:D4:6A:D1:B8, GARBAGE IP, true
07:05:54, 00:23:D4:6A:D1:B8, GARBAGE, true
07:11:59, 00:23:D4:6A:D1:B8, GARBAGE, true
07:17:26, 00:23:D4:6A:D1:B8, GARBAGE, true
07:20:08, 00:23:D4:6A:D1:B8, GARBAGE, true
07:24:17, 00:23:D4:6A:D1:B8, GARBAGE, true
07:25:36, 00:23:D4:6A:D1:B8, GARBAGE, true
07:27:58, 00:23:D4:6A:D1:B8, GARBAGE, true
07:36:07, 00:23:D4:6A:D1:B8, GARBAGE, true
07:39:11, 00:23:D4:6A:D1:B8, GARBAGE, true
07:41:37, 00:23:D4:6A:D1:B8, GARBAGE, true
07:47:08, 00:23:D4:6A:D1:B8, GARBAGE, true
07:55:28, 00:23:D4:6A:D1:B8, GARBAGE, true
08:01:14, 00:23:D4:6A:D1:B8, GARBAGE, true
08:03:43, 00:23:D4:6A:D1:B8, GARBAGE, true
08:03:55, 00:23:D4:6A:D1:B8, 192.168.1.1, true
08:03:55, 00:23:D4:6A:D1:B8, GARBAGE IP, true
08:03:55, 00:23:D4:6A:D1:B8, GARBAGE IP, true
08:03:55, 00:23:D4:6A:D1:B8, GARBAGE IP, true
08:06:56, 00:23:D4:6A:D1:B8, GARBAGE, true
08:09:55, 00:23:D4:6A:D1:B8, GARBAGE, true
08:15:36, 00:23:D4:6A:D1:B8, GARBAGE, true
08:19:08, 00:23:D4:6A:D1:B8, GARBAGE, true
08:27:28, 00:23:D4:6A:D1:B8, GARBAGE, true
08:30:08, 00:23:D4:6A:D1:B8, GARBAGE, true
08:36:03, 00:23:D4:6A:D1:B8, GARBAGE, true
08:38:58, 00:23:D4:6A:D1:B8, GARBAGE, true
08:42:09, 00:23:D4:6A:D1:B8, GARBAGE, true
08:50:48, 00:23:D4:6A:D1:B8, GARBAGE, true
08:56:52, 00:23:D4:6A:D1:B8, GARBAGE, true
09:02:45, 00:23:D4:6A:D1:B8, GARBAGE, true
09:05:12, 00:23:D4:6A:D1:B8, GARBAGE, true
09:08:18, 00:23:D4:6A:D1:B8, GARBAGE, true
09:11:15, 00:23:D4:6A:D1:B8, GARBAGE, true
09:16:20, 00:23:D4:6A:D1:B8, GARBAGE, true
09:18:57, 00:23:D4:6A:D1:B8, GARBAGE, true
09:19:02, 00:23:D4:6A:D1:B8, 192.168.1.10, true
