06:57:22, 18:00:00, Battery: level = 24, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3655
UConnect Schedule  prime=7
06:57:49, 18:00:27, Battery: level = 23, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3696
06:58:49, 18:01:27, Battery: level = 22, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3684
07:00:19, 18:02:56, Battery: level = 21, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3692
07:00:49, 18:03:26, Battery: level = 20, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3679
07:02:19, 18:04:56, Battery: level = 19, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3692
07:10:48, 18:13:26, Battery: level = 18, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3690
07:11:18, 18:13:56, Battery: level = 17, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3690
07:12:18, 18:14:56, Battery: level = 16, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3671
07:14:18, 18:16:56, Battery: level = 15, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3684
07:19:18, 18:21:55, Battery: level = 14, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3684
07:20:18, 18:22:55, Battery: level = 13, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3670
07:21:18, 18:23:55, Battery: level = 12, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3670
07:23:17, 18:25:55, Battery: level = 11, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3673
07:36:17, 18:38:54, Battery: level = 10, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3673
08:09:15, 19:11:52, Battery: level = 9, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3671
08:10:15, 19:12:52, Battery: level = 8, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3669
08:20:44, 19:23:22, Battery: level = 7, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3664
08:22:14, 19:24:52, Battery: level = 6, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3656
08:38:13, 19:40:51, Battery: level = 5, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3653
08:39:43, 19:42:21, Battery: level = 4, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3650
08:52:42, 19:55:20, Battery: level = 3, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3638
08:54:42, 19:57:20, Battery: level = 2, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3619
09:32:55, 20:35:32, Battery: level = 2, scale = 100, status = 2, health = 2, plugged = 1, voltage = 3639
09:33:40, 20:36:17, Battery: level = 3, scale = 100, status = 2, health = 2, plugged = 1, voltage = 3824
09:34:40, 20:37:17, Battery: level = 4, scale = 100, status = 2, health = 2, plugged = 1, voltage = 3849
