06:54:09, 18:00:00, Battery: level = 100, scale = 100, status = 4, health = 2, plugged = 0, voltage = 4190
UConnect Schedule  prime=7
07:18:59, 18:24:50, Battery: level = 99, scale = 100, status = 4, health = 2, plugged = 0, voltage = 4106
07:37:28, 18:43:19, Battery: level = 98, scale = 100, status = 4, health = 2, plugged = 0, voltage = 4095
07:43:58, 18:49:48, Battery: level = 97, scale = 100, status = 4, health = 2, plugged = 0, voltage = 4091
07:44:28, 18:50:18, Battery: level = 96, scale = 100, status = 4, health = 2, plugged = 0, voltage = 4073
07:46:28, 18:52:18, Battery: level = 95, scale = 100, status = 4, health = 2, plugged = 0, voltage = 4078
07:57:27, 19:03:18, Battery: level = 94, scale = 100, status = 4, health = 2, plugged = 0, voltage = 4067
07:59:57, 19:05:47, Battery: level = 93, scale = 100, status = 4, health = 2, plugged = 0, voltage = 4056
08:31:55, 19:37:46, Battery: level = 92, scale = 100, status = 4, health = 2, plugged = 0, voltage = 4054
08:32:55, 19:38:45, Battery: level = 91, scale = 100, status = 4, health = 2, plugged = 0, voltage = 4036
08:33:55, 19:39:46, Battery: level = 90, scale = 100, status = 4, health = 2, plugged = 0, voltage = 4058
08:35:55, 19:41:45, Battery: level = 89, scale = 100, status = 4, health = 2, plugged = 0, voltage = 4027
08:37:55, 19:43:45, Battery: level = 88, scale = 100, status = 4, health = 2, plugged = 0, voltage = 4027
08:39:25, 19:45:15, Battery: level = 87, scale = 100, status = 4, health = 2, plugged = 0, voltage = 4026
08:52:54, 19:58:44, Battery: level = 86, scale = 100, status = 4, health = 2, plugged = 0, voltage = 4005
08:59:54, 20:05:44, Battery: level = 85, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3999
09:00:53, 20:06:44, Battery: level = 84, scale = 100, status = 4, health = 2, plugged = 0, voltage = 4000
09:02:23, 20:08:14, Battery: level = 83, scale = 100, status = 4, health = 2, plugged = 0, voltage = 4003
09:14:53, 20:20:43, Battery: level = 82, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3989
09:46:21, 20:52:11, Battery: level = 81, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3966
09:46:51, 20:52:41, Battery: level = 80, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3963
09:47:51, 20:53:41, Battery: level = 79, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3966
09:48:51, 20:54:41, Battery: level = 78, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3966
09:51:50, 20:57:41, Battery: level = 77, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3953
09:53:20, 20:59:11, Battery: level = 76, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3952
10:02:20, 21:08:10, Battery: level = 75, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3952
10:08:19, 21:14:10, Battery: level = 74, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3939
10:08:49, 21:14:40, Battery: level = 73, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3930
10:09:19, 21:15:10, Battery: level = 72, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3929
10:09:49, 21:15:40, Battery: level = 71, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3926
10:11:49, 21:17:40, Battery: level = 70, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3921
10:16:49, 21:22:39, Battery: level = 69, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3913
10:29:48, 21:35:39, Battery: level = 68, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3898
11:01:46, 22:07:37, Battery: level = 67, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3888
