00:34:52, 00:23:D4:6A:BB:92, 192.168.1.7, false
00:34:52, 00:23:D4:6A:BB:92, GARBAGE IP, true
00:34:52, 00:23:D4:6A:BB:92, GARBAGE IP, true
00:34:52, 00:23:D4:6A:BB:92, GARBAGE IP, true
00:34:52, 00:23:D4:6A:BB:92, GARBAGE IP, true
00:34:52, 00:23:D4:6A:BB:92, GARBAGE IP, true
00:34:52, 00:23:D4:6A:BB:92, GARBAGE IP, true
00:35:35, 00:23:D4:6A:BB:92, 192.168.1.6, true
00:37:08, 00:23:D4:6A:BB:92, GARBAGE, true
00:38:21, 00:23:D4:6A:BB:92, GARBAGE, true
00:38:30, 00:23:D4:6A:BB:92, GARBAGE, true
00:41:35, 00:23:D4:6A:BB:92, GARBAGE, true
00:43:51, 00:23:D4:6A:BB:92, 192.168.1.8, true
00:43:51, 00:23:D4:6A:BB:92, GARBAGE IP, true
00:43:51, 00:23:D4:6A:BB:92, GARBAGE IP, true
00:43:51, 00:23:D4:6A:BB:92, GARBAGE IP, true
00:43:51, 00:23:D4:6A:BB:92, GARBAGE IP, true
00:43:51, 00:23:D4:6A:BB:92, GARBAGE IP, true
00:46:37, 00:23:D4:6A:BB:92, GARBAGE, true
00:50:44, 00:23:D4:6A:BB:92, GARBAGE, true
00:56:07, 00:23:D4:6A:BB:92, GARBAGE, true
00:59:28, 00:23:D4:6A:BB:92, GARBAGE, true
01:08:50, 00:23:D4:6A:BB:92, GARBAGE, true
01:09:57, 00:23:D4:6A:BB:92, GARBAGE, true
01:13:51, 00:23:D4:6A:BB:92, GARBAGE, true
01:14:29, 00:23:D4:6A:BB:92, GARBAGE, true
01:18:18, 00:23:D4:6A:BB:92, GARBAGE, true
01:18:25, 00:23:D4:6A:BB:92, GARBAGE, true
01:24:26, 00:23:D4:6A:BB:92, GARBAGE, true
01:27:29, 00:23:D4:6A:BB:92, GARBAGE, true
01:27:57, 00:23:D4:6A:BB:92, GARBAGE, true
01:28:06, 00:23:D4:6A:BB:92, GARBAGE, true
01:37:07, 00:23:D4:6A:BB:92, GARBAGE, true
01:40:13, 00:23:D4:6A:BB:92, 192.168.1.8, true
01:40:13, 00:23:D4:6A:BB:92, GARBAGE IP, true
01:40:13, 00:23:D4:6A:BB:92, GARBAGE IP, true
01:40:13, 00:23:D4:6A:BB:92, GARBAGE IP, true
01:40:13, 00:23:D4:6A:BB:92, GARBAGE IP, true
01:40:13, 00:23:D4:6A:BB:92, GARBAGE IP, true
