20:45:15, 00:23:D4:6A:B9:0F, GARBAGE, false
20:46:48, 00:23:D4:6A:B9:0F, GARBAGE, false
20:56:17, 00:23:D4:6A:B9:0F, GARBAGE, false
21:01:02, 00:23:D4:6A:B9:0F, GARBAGE, false
21:05:29, 00:23:D4:6A:B9:0F, GARBAGE, false
21:11:09, 00:23:D4:6A:B9:0F, GARBAGE, false
21:12:55, 00:23:D4:6A:B9:0F, GARBAGE, false
21:13:39, 00:23:D4:6A:B9:0F, GARBAGE, false
21:15:38, 00:23:D4:6A:B9:0F, GARBAGE, false
21:23:30, 00:23:D4:6A:B9:0F, GARBAGE, false
21:24:45, 00:23:D4:6A:B9:0F, GARBAGE, false
21:27:30, 00:23:D4:6A:B9:0F, GARBAGE, false
21:29:56, 00:23:D4:6A:B9:0F, GARBAGE, false
21:30:32, 00:23:D4:6A:B9:0F, GARBAGE, false
21:40:14, 00:23:D4:6A:B9:0F, GARBAGE, false
21:40:29, 00:23:D4:6A:B9:0F, GARBAGE, false
21:41:57, 00:23:D4:6A:B9:0F, GARBAGE, false
21:46:45, 00:23:D4:6A:B9:0F, GARBAGE, false
21:51:32, 00:23:D4:6A:B9:0F, GARBAGE, false
21:59:37, 00:23:D4:6A:B9:0F, GARBAGE, false
22:03:35, 00:23:D4:6A:B9:0F, GARBAGE, false
22:08:10, 00:23:D4:6A:B9:0F, GARBAGE, false
22:09:34, 00:23:D4:6A:B9:0F, GARBAGE, false
22:10:56, 00:23:D4:6A:B9:0F, GARBAGE, false
22:12:51, 00:23:D4:6A:B9:0F, GARBAGE, false
22:16:03, 00:23:D4:6A:B9:0F, GARBAGE, false
22:17:52, 00:23:D4:6A:B9:0F, GARBAGE, false
22:22:07, 00:23:D4:6A:B9:0F, GARBAGE, false
22:26:43, 00:23:D4:6A:B9:0F, GARBAGE, false
22:29:32, 00:23:D4:6A:B9:0F, GARBAGE, false
22:33:53, 00:23:D4:6A:B9:0F, GARBAGE, false
22:36:38, 00:23:D4:6A:B9:0F, GARBAGE, false
22:44:13, 00:23:D4:6A:B9:0F, GARBAGE, false
22:48:32, 00:23:D4:6A:B9:0F, GARBAGE, false
22:51:52, 00:23:D4:6A:B9:0F, GARBAGE, false
23:00:32, 00:23:D4:6A:B9:0F, GARBAGE, false
23:05:25, 00:23:D4:6A:B9:0F, GARBAGE, false
23:08:21, 00:23:D4:6A:B9:0F, GARBAGE, false
23:11:19, 00:23:D4:6A:B9:0F, GARBAGE, false
23:13:39, 00:23:D4:6A:B9:0F, GARBAGE, false
23:15:37, 00:23:D4:6A:B9:0F, 192.168.1.6, false
23:15:37, 00:23:D4:6A:B9:0F, GARBAGE IP, true
23:15:37, 00:23:D4:6A:B9:0F, GARBAGE IP, true
23:15:37, 00:23:D4:6A:B9:0F, GARBAGE IP, true
23:15:37, 00:23:D4:6A:B9:0F, GARBAGE IP, true
23:15:37, 00:23:D4:6A:B9:0F, GARBAGE IP, true
23:15:37, 00:23:D4:6A:B9:0F, GARBAGE IP, true
23:21:08, 00:23:D4:6A:B9:0F, GARBAGE, true
23:25:36, 00:23:D4:6A:B9:0F, GARBAGE, true
23:30:12, 00:23:D4:6A:B9:0F, GARBAGE, true
23:33:00, 00:23:D4:6A:B9:0F, GARBAGE, true
