00:36:28, 00:23:D4:6A:22:09, GARBAGE, true
00:37:02, 00:23:D4:6A:22:09, GARBAGE, true
00:37:24, 00:23:D4:6A:22:09, GARBAGE, true
00:37:36, 00:23:D4:6A:22:09, GARBAGE, true
00:40:59, 00:23:D4:6A:22:09, GARBAGE, true
00:46:44, 00:23:D4:6A:22:09, GARBAGE, true
00:49:52, 00:23:D4:6A:22:09, GARBAGE, true
00:55:16, 00:23:D4:6A:22:09, GARBAGE, true
00:58:49, 00:23:D4:6A:22:09, GARBAGE, true
01:03:26, 00:23:D4:6A:22:09, GARBAGE, true
01:13:20, 00:23:D4:6A:22:09, GARBAGE, true
01:17:15, 00:23:D4:6A:22:09, GARBAGE, true
01:23:34, 00:23:D4:6A:22:09, GARBAGE, true
01:25:54, 00:23:D4:6A:22:09, 192.168.1.7, true
01:25:54, 00:23:D4:6A:22:09, GARBAGE IP, true
01:25:54, 00:23:D4:6A:22:09, GARBAGE IP, true
01:25:54, 00:23:D4:6A:22:09, GARBAGE IP, true
01:25:54, 00:23:D4:6A:22:09, GARBAGE IP, true
01:25:54, 00:23:D4:6A:22:09, GARBAGE IP, true
01:26:36, 00:23:D4:6A:22:09, GARBAGE, true
01:26:56, 00:23:D4:6A:22:09, GARBAGE, true
01:31:36, 00:23:D4:6A:22:09, GARBAGE, true
01:36:23, 00:23:D4:6A:22:09, GARBAGE, true
01:36:37, 00:23:D4:6A:22:09, GARBAGE, true
01:39:33, 00:23:D4:6A:22:09, GARBAGE, true
01:46:29, 00:23:D4:6A:22:09, GARBAGE, true
01:49:40, 00:23:D4:6A:22:09, GARBAGE, true
01:52:37, 00:23:D4:6A:22:09, GARBAGE, true
01:56:38, 00:23:D4:6A:22:09, GARBAGE, true
01:58:22, 00:23:D4:6A:22:09, 192.168.1.8, true
01:58:23, 00:23:D4:6A:22:09, GARBAGE IP, true
01:58:23, 00:23:D4:6A:22:09, GARBAGE IP, true
01:58:23, 00:23:D4:6A:22:09, GARBAGE IP, true
02:02:43, 00:23:D4:6A:22:09, GARBAGE, true
02:04:41, 00:23:D4:6A:22:09, GARBAGE, true
02:06:18, 00:23:D4:6A:22:09, GARBAGE, true
02:06:26, 00:23:D4:6A:22:09, 192.168.1.6, true
02:06:27, 00:23:D4:6A:22:09, GARBAGE IP, true
02:06:27, 00:23:D4:6A:22:09, GARBAGE IP, true
02:06:27, 00:23:D4:6A:22:09, GARBAGE IP, true
02:06:27, 00:23:D4:6A:22:09, GARBAGE IP, true
02:12:45, 00:23:D4:6A:22:09, GARBAGE, true
02:15:49, 00:23:D4:6A:22:09, GARBAGE, true
02:22:46, 00:23:D4:6A:22:09, GARBAGE, true
02:25:32, 00:23:D4:6A:22:09, GARBAGE, true
02:32:55, 00:23:D4:6A:22:09, GARBAGE, true
02:34:28, 00:23:D4:6A:22:09, GARBAGE, true
02:35:15, 00:23:D4:6A:22:09, GARBAGE, true
02:37:13, 00:23:D4:6A:22:09, 192.168.1.8, true
02:37:13, 00:23:D4:6A:22:09, GARBAGE IP, true
02:37:14, 00:23:D4:6A:22:09, GARBAGE IP, true
02:37:14, 00:23:D4:6A:22:09, GARBAGE IP, true
02:37:14, 00:23:D4:6A:22:09, GARBAGE IP, true
02:37:14, 00:23:D4:6A:22:09, GARBAGE IP, true
02:37:33, 00:23:D4:6A:22:09, GARBAGE, true
02:41:32, 00:23:D4:6A:22:09, GARBAGE, true
02:42:48, 00:23:D4:6A:22:09, GARBAGE, true
