00:37:02, 18:00:00, Battery: level = 66, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3882
UConnect Schedule  prime=7
09:28:34, 18:00:00, Battery: level = 71, scale = 100, status = 2, health = 2, plugged = 1, voltage = 4077
UConnect Schedule  prime=7
09:28:35 STARTING NEW INSTANCE : POTENTIAL NEIGHBORS = 6
09:29:31, 18:00:56, Battery: level = 72, scale = 100, status = 2, health = 2, plugged = 1, voltage = 4075, active bt peers=2, potential bt peers=6
09:30:30, 18:01:56, Battery: level = 73, scale = 100, status = 2, health = 2, plugged = 1, voltage = 4091, active bt peers=2, potential bt peers=6
09:31:30, 18:02:56, Battery: level = 74, scale = 100, status = 2, health = 2, plugged = 1, voltage = 4100, active bt peers=0, potential bt peers=6
09:33:00, 18:04:26, Battery: level = 75, scale = 100, status = 2, health = 2, plugged = 1, voltage = 4098, active bt peers=1, potential bt peers=6
09:35:57, 18:00:00, Battery: level = 77, scale = 100, status = 2, health = 2, plugged = 1, voltage = 4117, active bt peers=1, potential bt peers=6
UConnect Schedule  prime=7
09:35:58 STARTING NEW INSTANCE : POTENTIAL NEIGHBORS = 6
09:36:30, 18:00:32, Battery: level = 78, scale = 100, status = 2, health = 2, plugged = 1, voltage = 4108, active bt peers=1, potential bt peers=6
09:37:30, 18:01:32, Battery: level = 79, scale = 100, status = 2, health = 2, plugged = 1, voltage = 4122, active bt peers=1, potential bt peers=6
09:38:30, 18:02:33, Battery: level = 80, scale = 100, status = 2, health = 2, plugged = 1, voltage = 4133, active bt peers=1, potential bt peers=6
09:40:00, 18:04:02, Battery: level = 81, scale = 100, status = 2, health = 2, plugged = 1, voltage = 4141, active bt peers=1, potential bt peers=6
09:41:00, 18:05:02, Battery: level = 82, scale = 100, status = 2, health = 2, plugged = 1, voltage = 4146, active bt peers=1, potential bt peers=6
09:42:00, 18:06:02, Battery: level = 83, scale = 100, status = 2, health = 2, plugged = 1, voltage = 4153, active bt peers=1, potential bt peers=6
09:44:19, 18:00:00, Battery: level = 83, scale = 100, status = 2, health = 2, plugged = 1, voltage = 4153, active bt peers=1, potential bt peers=6
UConnect Schedule  prime=7
09:44:19 STARTING NEW INSTANCE : POTENTIAL NEIGHBORS = 6
09:46:30, 18:02:11, Battery: level = 84, scale = 100, status = 2, health = 2, plugged = 1, voltage = 4062, active bt peers=0, potential bt peers=6
09:49:29, 18:05:10, Battery: level = 85, scale = 100, status = 2, health = 2, plugged = 1, voltage = 4058, active bt peers=1, potential bt peers=6
09:52:59, 18:08:40, Battery: level = 86, scale = 100, status = 2, health = 2, plugged = 1, voltage = 4070, active bt peers=1, potential bt peers=6
09:56:29, 18:12:10, Battery: level = 87, scale = 100, status = 2, health = 2, plugged = 1, voltage = 4081, active bt peers=1, potential bt peers=6
10:01:28, 18:00:00, Battery: level = 87, scale = 100, status = 2, health = 2, plugged = 1, voltage = 3985, active bt peers=1, potential bt peers=6
UConnect Schedule  prime=7
10:01:28 STARTING NEW INSTANCE : POTENTIAL NEIGHBORS = 6
10:02:59, 18:01:30, Battery: level = 88, scale = 100, status = 2, health = 2, plugged = 1, voltage = 4090, active bt peers=2, potential bt peers=6
10:12:42, 18:00:00, Battery: level = 90, scale = 100, status = 2, health = 2, plugged = 1, voltage = 4098, active bt peers=3, potential bt peers=6
UConnect Schedule  prime=7
10:12:42 STARTING NEW INSTANCE : POTENTIAL NEIGHBORS = 6
10:13:58, 18:01:16, Battery: level = 91, scale = 100, status = 2, health = 2, plugged = 1, voltage = 4107, active bt peers=2, potential bt peers=6
