00:34:55, 18:00:00, Battery: level = 94, scale = 100, status = 4, health = 2, plugged = 0, voltage = 4040
UConnect Schedule  prime=7
00:35:47, 18:00:52, Battery: level = 93, scale = 100, status = 4, health = 2, plugged = 0, voltage = 4035
00:36:18, 18:01:22, Battery: level = 92, scale = 100, status = 4, health = 2, plugged = 0, voltage = 4049
00:36:47, 18:01:52, Battery: level = 91, scale = 100, status = 4, health = 2, plugged = 0, voltage = 4049
00:37:47, 18:02:52, Battery: level = 90, scale = 100, status = 4, health = 2, plugged = 0, voltage = 4052
00:39:47, 18:04:51, Battery: level = 89, scale = 100, status = 4, health = 2, plugged = 0, voltage = 4039
00:40:17, 18:05:21, Battery: level = 88, scale = 100, status = 4, health = 2, plugged = 0, voltage = 4042
00:43:47, 18:08:51, Battery: level = 87, scale = 100, status = 4, health = 2, plugged = 0, voltage = 4036
00:45:16, 18:10:21, Battery: level = 86, scale = 100, status = 4, health = 2, plugged = 0, voltage = 4024
00:51:46, 18:16:51, Battery: level = 85, scale = 100, status = 4, health = 2, plugged = 0, voltage = 4019
00:52:16, 18:17:21, Battery: level = 84, scale = 100, status = 4, health = 2, plugged = 0, voltage = 4008
00:52:46, 18:17:51, Battery: level = 83, scale = 100, status = 4, health = 2, plugged = 0, voltage = 4002
00:54:16, 18:19:21, Battery: level = 82, scale = 100, status = 4, health = 2, plugged = 0, voltage = 4002
00:54:16, 18:19:21, Battery: level = 81, scale = 100, status = 4, health = 2, plugged = 0, voltage = 4002
00:58:16, 18:23:20, Battery: level = 80, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3990
01:12:15, 18:37:20, Battery: level = 79, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3969
01:12:45, 18:37:50, Battery: level = 78, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3962
01:14:45, 18:39:49, Battery: level = 77, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3952
01:15:15, 18:40:19, Battery: level = 76, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3950
01:15:45, 18:40:49, Battery: level = 75, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3953
01:16:15, 18:41:20, Battery: level = 74, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3946
01:16:45, 18:41:49, Battery: level = 73, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3945
01:19:44, 18:44:49, Battery: level = 72, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3939
01:20:14, 18:45:19, Battery: level = 71, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3933
01:20:44, 18:45:49, Battery: level = 70, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3934
01:23:14, 18:48:19, Battery: level = 69, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3929
01:26:44, 18:51:49, Battery: level = 68, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3918
01:29:44, 18:54:49, Battery: level = 67, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3910
01:30:44, 18:55:49, Battery: level = 66, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3902
