Current Time, My address, Neighbor address, Neighbor IP, Name, Network type, Direct, New, Size
13:39:08 STARTING NEW INSTANCE : POTENTIAL NEIGHBORS = 6
13:39:17, 00:23:D4:6A:22:09, 00:23:D4:6A:B6:B9, ty, GARBAGE, bluetooth discovery, true, fresh, 1
13:39:18, 00:23:D4:6A:22:09, 00:23:D4:6A:A4:E2, 09, GARBAGE, bluetooth discovery, true, fresh, 2
13:39:20, 00:23:D4:6A:22:09, 00:23:D4:6A:D1:B8, asdf, GARBAGE, bluetooth discovery, true, fresh, 3
13:39:45, 00:23:D4:6A:22:09, 00:23:D4:6A:E5:21, 07, GARBAGE, bluetooth discovery, true, fresh, 4
13:39:52, 00:23:D4:6A:22:09, 00:23:D4:6A:87:DE, phone, 192.168.1.1, wifi_network, true, fresh, 5
13:39:52, 00:23:D4:6A:22:09, 00:23:D4:69:79:1C, GARBAGE NAME, GARBAGE IP, wifi_network, false, fresh, 6
13:39:52, 00:23:D4:6A:22:09, 00:23:D4:68:E1:E9, GARBAGE NAME, GARBAGE IP, wifi_network, false, fresh, 7
13:39:54, 00:23:D4:6A:22:09, 00:23:D4:6A:E5:21, phone, 192.168.1.4, wifi_network, true, old, 7
13:39:54, 00:23:D4:6A:22:09, 00:23:D4:6A:D1:B8, GARBAGE NAME, GARBAGE IP, wifi_network, true, old, 7
13:41:28, 00:23:D4:6A:22:09, 00:23:D4:6A:B9:0F, HTC Dream, GARBAGE, bluetooth_network, true, fresh, 8
13:41:38, 00:23:D4:6A:22:09, 00:23:D4:6A:A4:E2, 09, GARBAGE, bluetooth_network, true, old, 8
13:41:38, 00:23:D4:6A:22:09, 00:23:D4:6A:D1:B8, asdf, GARBAGE, bluetooth_network, true, old, 8
13:41:38, 00:23:D4:6A:22:09, 00:23:D4:6A:E5:21, 07, GARBAGE, bluetooth_network, true, old, 8
13:41:38, 00:23:D4:6A:22:09, 00:23:D4:6A:B6:B9, ty, GARBAGE, bluetooth_network, true, old, 8
13:43:46, 00:23:D4:6A:22:09, 00:23:D4:6A:E5:21, phone, 192.168.1.4, wifi_network, true, old, 8
13:43:46, 00:23:D4:6A:22:09, 00:23:D4:6A:D1:B8, GARBAGE NAME, GARBAGE IP, wifi_network, true, old, 8
13:51:31, 00:23:D4:6A:22:09, 00:23:D4:6A:D1:B8, asdf, GARBAGE, bluetooth_network, true, old, 8
13:51:31, 00:23:D4:6A:22:09, 00:23:D4:6A:B9:0F, HTC Dream, GARBAGE, bluetooth_network, true, old, 8
13:51:32, 00:23:D4:6A:22:09, 00:23:D4:6A:A4:E2, 09, GARBAGE, bluetooth_network, true, old, 8
13:51:32, 00:23:D4:6A:22:09, 00:23:D4:6A:E5:21, 07, GARBAGE, bluetooth_network, true, old, 8
13:51:32, 00:23:D4:6A:22:09, 00:23:D4:68:E1:E9, phone, 192.168.1.3, bluetooth_network, true, fresh, 8
13:51:32, 00:23:D4:6A:22:09, 00:23:D4:6A:B6:B9, ty, GARBAGE, bluetooth_network, true, old, 8
13:51:32, 00:23:D4:6A:22:09, 00:23:D4:6A:BB:92, 08, GARBAGE, bluetooth_network, true, fresh, 9
