13:39:08, 18:00:00, Battery: level = 24, scale = 100, status = 2, health = 2, plugged = 1, voltage = 3768, active bt peers=3, potential bt peers=6
UConnect Schedule  prime=7
13:39:08 STARTING NEW INSTANCE : POTENTIAL NEIGHBORS = 6
13:40:38, 18:01:29, Battery: level = 25, scale = 100, status = 2, health = 2, plugged = 1, voltage = 3776, active bt peers=4, potential bt peers=6
13:44:07, 18:04:59, Battery: level = 26, scale = 100, status = 2, health = 2, plugged = 1, voltage = 3773, active bt peers=5, potential bt peers=6
13:47:37, 18:08:29, Battery: level = 27, scale = 100, status = 2, health = 2, plugged = 1, voltage = 3779, active bt peers=5, potential bt peers=6
13:51:07, 18:11:59, Battery: level = 28, scale = 100, status = 2, health = 2, plugged = 1, voltage = 3781, active bt peers=5, potential bt peers=6
13:52:07, 18:12:59, Battery: level = 27, scale = 100, status = 2, health = 2, plugged = 1, voltage = 3690, active bt peers=5, potential bt peers=6
13:53:07, 18:13:59, Battery: level = 26, scale = 100, status = 2, health = 2, plugged = 1, voltage = 3679, active bt peers=5, potential bt peers=6
13:53:37, 18:14:29, Battery: level = 25, scale = 100, status = 2, health = 2, plugged = 1, voltage = 3679, active bt peers=5, potential bt peers=6
13:54:07, 18:14:59, Battery: level = 24, scale = 100, status = 2, health = 2, plugged = 1, voltage = 3674, active bt peers=5, potential bt peers=6
13:54:37, 18:15:29, Battery: level = 23, scale = 100, status = 2, health = 2, plugged = 1, voltage = 3671, active bt peers=5, potential bt peers=6
13:55:07, 18:15:58, Battery: level = 22, scale = 100, status = 2, health = 2, plugged = 1, voltage = 3669, active bt peers=5, potential bt peers=6
13:55:37, 18:16:28, Battery: level = 21, scale = 100, status = 2, health = 2, plugged = 1, voltage = 3662, active bt peers=5, potential bt peers=6
13:56:07, 18:16:58, Battery: level = 20, scale = 100, status = 2, health = 2, plugged = 1, voltage = 3666, active bt peers=5, potential bt peers=6
13:56:37, 18:17:28, Battery: level = 19, scale = 100, status = 2, health = 2, plugged = 1, voltage = 3665, active bt peers=5, potential bt peers=6
13:57:37, 18:18:28, Battery: level = 18, scale = 100, status = 2, health = 2, plugged = 1, voltage = 3655, active bt peers=5, potential bt peers=6
13:58:07, 18:18:58, Battery: level = 17, scale = 100, status = 2, health = 2, plugged = 1, voltage = 3661, active bt peers=5, potential bt peers=6
14:01:36, 18:22:28, Battery: level = 16, scale = 100, status = 2, health = 2, plugged = 1, voltage = 3655, active bt peers=5, potential bt peers=6
14:02:06, 18:22:58, Battery: level = 15, scale = 100, status = 2, health = 2, plugged = 1, voltage = 3647, active bt peers=5, potential bt peers=6
14:03:36, 18:24:28, Battery: level = 14, scale = 100, status = 2, health = 2, plugged = 1, voltage = 3647, active bt peers=5, potential bt peers=6
14:05:06, 18:25:58, Battery: level = 13, scale = 100, status = 2, health = 2, plugged = 1, voltage = 3646, active bt peers=5, potential bt peers=6
14:06:36, 18:27:28, Battery: level = 12, scale = 100, status = 2, health = 2, plugged = 1, voltage = 3636, active bt peers=5, potential bt peers=6
14:07:36, 18:28:28, Battery: level = 11, scale = 100, status = 2, health = 2, plugged = 1, voltage = 3641, active bt peers=5, potential bt peers=6
14:08:36, 18:29:28, Battery: level = 10, scale = 100, status = 2, health = 2, plugged = 1, voltage = 3625, active bt peers=5, potential bt peers=6
14:10:06, 18:30:58, Battery: level = 9, scale = 100, status = 2, health = 2, plugged = 1, voltage = 3625, active bt peers=5, potential bt peers=6
15:01:58, 18:00:00, Battery: level = 5, scale = 100, status = 2, health = 2, plugged = 1, voltage = 3761, active bt peers=5, potential bt peers=6
UConnect Schedule  prime=7
15:01:58 STARTING NEW INSTANCE : POTENTIAL NEIGHBORS = 6
15:03:05, 18:01:07, Battery: level = 6, scale = 100, status = 2, health = 2, plugged = 1, voltage = 3674, active bt peers=2, potential bt peers=6
15:06:34, 18:04:36, Battery: level = 7, scale = 100, status = 2, health = 2, plugged = 1, voltage = 3676, active bt peers=1, potential bt peers=6
