07:06:46, 00:23:D4:6A:A4:E2, 192.168.1.4, false
07:06:46, 00:23:D4:6A:A4:E2, GARBAGE IP, true
07:06:46, 00:23:D4:6A:A4:E2, GARBAGE IP, true
07:10:04, 00:23:D4:6A:A4:E2, GARBAGE, true
07:10:08, 00:23:D4:6A:A4:E2, GARBAGE, false
07:10:38, 00:23:D4:6A:A4:E2, GARBAGE, false
07:11:22, 00:23:D4:6A:A4:E2, GARBAGE, false
07:11:59, 00:23:D4:6A:A4:E2, 192.168.1.10, false
07:11:59, 00:23:D4:6A:A4:E2, GARBAGE IP, true
07:11:59, 00:23:D4:6A:A4:E2, GARBAGE IP, true
07:11:59, 00:23:D4:6A:A4:E2, GARBAGE IP, true
07:12:41, 00:23:D4:6A:A4:E2, 192.168.1.10, false
07:12:41, 00:23:D4:6A:A4:E2, GARBAGE IP, true
07:12:41, 00:23:D4:6A:A4:E2, GARBAGE IP, true
07:12:41, 00:23:D4:6A:A4:E2, GARBAGE IP, true
07:13:32, 00:23:D4:6A:A4:E2, GARBAGE, true
07:15:33, 00:23:D4:6A:A4:E2, GARBAGE, true
07:17:35, 00:23:D4:6A:A4:E2, 192.168.1.4, false
07:17:35, 00:23:D4:6A:A4:E2, GARBAGE IP, true
07:17:37, 00:23:D4:6A:A4:E2, 192.168.1.11, true
07:17:37, 00:23:D4:6A:A4:E2, GARBAGE IP, true
07:17:37, 00:23:D4:6A:A4:E2, GARBAGE IP, true
07:17:37, 00:23:D4:6A:A4:E2, GARBAGE IP, true
07:17:37, 00:23:D4:6A:A4:E2, GARBAGE IP, true
07:17:37, 00:23:D4:6A:A4:E2, GARBAGE IP, true
07:20:35, 00:23:D4:6A:A4:E2, GARBAGE, false
07:23:43, 00:23:D4:6A:A4:E2, GARBAGE, false
07:26:43, 00:23:D4:6A:A4:E2, GARBAGE, false
07:29:57, 00:23:D4:6A:A4:E2, GARBAGE, true
07:30:32, 00:23:D4:6A:A4:E2, GARBAGE, false
07:32:29, 00:23:D4:6A:A4:E2, GARBAGE, false
07:33:38, 00:23:D4:6A:A4:E2, GARBAGE, true
07:34:43, 00:23:D4:6A:A4:E2, GARBAGE, false
07:37:57, 00:23:D4:6A:A4:E2, GARBAGE, true
07:39:52, 00:23:D4:6A:A4:E2, GARBAGE, false
07:41:34, 00:23:D4:6A:A4:E2, 192.168.1.8, true
07:41:34, 00:23:D4:6A:A4:E2, GARBAGE IP, true
