12:22:06, 00:23:D4:6A:E5:21, 00:23:D4:6A:BB:92, phone, 192.168.1.5, wifi_network, true, old, 6
12:22:06, 00:23:D4:6A:E5:21, 00:23:D4:6A:B6:B9, GARBAGE NAME, GARBAGE IP, wifi_network, true, old, 6
12:22:42, 00:23:D4:6A:E5:21, 00:23:D4:6A:22:09, phone, 192.168.1.6, wifi_network, true, old, 6
12:22:42, 00:23:D4:6A:E5:21, 00:23:D4:6A:B6:B9, GARBAGE NAME, GARBAGE IP, wifi_network, true, old, 6
12:22:43, 00:23:D4:6A:E5:21, 00:23:D4:6A:BB:92, GARBAGE NAME, GARBAGE IP, wifi_network, true, old, 6
12:22:43, 00:23:D4:6A:E5:21, 00:23:D4:6A:A4:E2, GARBAGE NAME, GARBAGE IP, wifi_network, true, old, 6
12:24:45, 00:23:D4:6A:E5:21, 00:23:D4:6A:A4:E2, phone, 192.168.1.7, wifi_network, true, old, 6
12:24:45, 00:23:D4:6A:E5:21, 00:23:D4:6A:22:09, GARBAGE NAME, GARBAGE IP, wifi_network, true, old, 6
12:24:45, 00:23:D4:6A:E5:21, 00:23:D4:6A:BB:92, GARBAGE NAME, GARBAGE IP, wifi_network, true, old, 6
12:24:45, 00:23:D4:6A:E5:21, 00:23:D4:6A:B6:B9, GARBAGE NAME, GARBAGE IP, wifi_network, true, old, 6
12:24:50, 00:23:D4:6A:E5:21, 00:23:D4:6A:A4:E2, phone, 192.168.1.7, wifi_network, true, old, 6
12:24:50, 00:23:D4:6A:E5:21, 00:23:D4:6A:22:09, GARBAGE NAME, GARBAGE IP, wifi_network, true, old, 6
12:24:50, 00:23:D4:6A:E5:21, 00:23:D4:6A:BB:92, GARBAGE NAME, GARBAGE IP, wifi_network, true, old, 6
12:24:50, 00:23:D4:6A:E5:21, 00:23:D4:6A:B6:B9, GARBAGE NAME, GARBAGE IP, wifi_network, true, old, 6
Current Time, My address, Neighbor address, Neighbor IP, Name, Network type, Direct, New, Size
12:32:43 STARTING NEW INSTANCE : POTENTIAL NEIGHBORS = 6
12:32:50, 00:23:D4:6A:E5:21, 00:23:D4:6A:BB:92, 08, GARBAGE, bluetooth discovery, true, fresh, 1
12:32:51, 00:23:D4:6A:E5:21, 00:23:D4:6A:A4:E2, 09, GARBAGE, bluetooth discovery, true, fresh, 2
12:32:53, 00:23:D4:6A:E5:21, 00:23:D4:6A:22:09, zxc, GARBAGE, bluetooth discovery, true, fresh, 3
