00:37:41, 00:23:D4:6A:B6:B9, GARBAGE, false
00:41:08, 00:23:D4:6A:B6:B9, GARBAGE, false
00:46:04, 00:23:D4:6A:B6:B9, GARBAGE, true
00:49:57, 00:23:D4:6A:B6:B9, GARBAGE, false
00:52:09, 00:23:D4:6A:B6:B9, GARBAGE, true
00:55:25, 00:23:D4:6A:B6:B9, GARBAGE, false
00:57:26, 00:23:D4:6A:B6:B9, 192.168.1.8, true
00:57:26, 00:23:D4:6A:B6:B9, GARBAGE IP, true
00:57:26, 00:23:D4:6A:B6:B9, GARBAGE IP, true
00:57:26, 00:23:D4:6A:B6:B9, GARBAGE IP, true
00:57:26, 00:23:D4:6A:B6:B9, GARBAGE IP, true
00:58:58, 00:23:D4:6A:B6:B9, GARBAGE, true
01:08:10, 00:23:D4:6A:B6:B9, GARBAGE, true
01:13:25, 00:23:D4:6A:B6:B9, GARBAGE, true
01:25:57, 00:23:D4:6A:B6:B9, 192.168.1.8, true
01:25:57, 00:23:D4:6A:B6:B9, GARBAGE IP, true
01:25:57, 00:23:D4:6A:B6:B9, GARBAGE IP, true
01:25:57, 00:23:D4:6A:B6:B9, GARBAGE IP, true
01:25:57, 00:23:D4:6A:B6:B9, GARBAGE IP, true
01:26:43, 00:23:D4:6A:B6:B9, GARBAGE, true
01:27:30, 00:23:D4:6A:B6:B9, GARBAGE, true
01:28:43, 00:23:D4:6A:B6:B9, 192.168.1.12, true
01:28:43, 00:23:D4:6A:B6:B9, GARBAGE IP, true
01:28:43, 00:23:D4:6A:B6:B9, GARBAGE IP, true
01:28:43, 00:23:D4:6A:B6:B9, GARBAGE IP, true
01:28:43, 00:23:D4:6A:B6:B9, GARBAGE IP, true
01:28:43, 00:23:D4:6A:B6:B9, GARBAGE IP, true
01:28:43, 00:23:D4:6A:B6:B9, GARBAGE IP, true
01:31:40, 00:23:D4:6A:B6:B9, GARBAGE, true
01:39:39, 00:23:D4:6A:B6:B9, GARBAGE, true
01:57:28, 00:23:D4:6A:B6:B9, GARBAGE, true
02:02:48, 00:23:D4:6A:B6:B9, GARBAGE, true
02:04:12, 00:23:D4:6A:B6:B9, 192.168.1.8, true
02:04:12, 00:23:D4:6A:B6:B9, GARBAGE IP, true
02:04:12, 00:23:D4:6A:B6:B9, GARBAGE IP, true
02:04:12, 00:23:D4:6A:B6:B9, GARBAGE IP, true
02:04:12, 00:23:D4:6A:B6:B9, GARBAGE IP, true
02:04:46, 00:23:D4:6A:B6:B9, GARBAGE, true
02:12:50, 00:23:D4:6A:B6:B9, GARBAGE, true
